"read_id","mate","pair_id","n_positions","positions_detected"
"SRR7910035.14070279","R1","SRR7910035.14070279",1,"698"
"SRR7910035.14262666","R1","SRR7910035.14262666",1,"653"
"SRR7910035.14324420","R1","SRR7910035.14324420",1,"653"
"SRR7910035.14534028","R1","SRR7910035.14534028",1,"653"
"SRR7910035.147446","R1","SRR7910035.147446",1,"698"
"SRR7910035.14892644","R1","SRR7910035.14892644",2,"653,698"
"SRR7910035.1525954","R1","SRR7910035.1525954",1,"653"
"SRR7910035.15282625","R1","SRR7910035.15282625",1,"653"
"SRR7910035.15288858","R1","SRR7910035.15288858",1,"653"
"SRR7910035.15399173","R1","SRR7910035.15399173",1,"698"
"SRR7910035.15532717","R1","SRR7910035.15532717",2,"653,698"
"SRR7910035.15613945","R1","SRR7910035.15613945",1,"653"
"SRR7910035.15908950","R1","SRR7910035.15908950",1,"653"
"SRR7910035.15931871","R1","SRR7910035.15931871",1,"653"
"SRR7910035.16091880","R1","SRR7910035.16091880",1,"653"
"SRR7910035.16416964","R1","SRR7910035.16416964",1,"698"
"SRR7910035.16467434","R1","SRR7910035.16467434",1,"698"
"SRR7910035.1664376","R1","SRR7910035.1664376",2,"653,698"
"SRR7910035.16745011","R1","SRR7910035.16745011",2,"653,698"
"SRR7910035.17001583","R1","SRR7910035.17001583",1,"698"
"SRR7910035.17059424","R1","SRR7910035.17059424",1,"698"
"SRR7910035.17231508","R1","SRR7910035.17231508",2,"653,698"
"SRR7910035.17330545","R1","SRR7910035.17330545",1,"653"
"SRR7910035.17344","R1","SRR7910035.17344",2,"653,698"
"SRR7910035.1735317","R1","SRR7910035.1735317",1,"698"
"SRR7910035.17387016","R1","SRR7910035.17387016",1,"653"
"SRR7910035.17428151","R1","SRR7910035.17428151",1,"653"
"SRR7910035.17454787","R1","SRR7910035.17454787",1,"698"
"SRR7910035.17724243","R1","SRR7910035.17724243",1,"653"
"SRR7910035.17808398","R1","SRR7910035.17808398",1,"698"
"SRR7910035.18202494","R1","SRR7910035.18202494",1,"698"
"SRR7910035.18361746","R1","SRR7910035.18361746",1,"698"
"SRR7910035.18489203","R1","SRR7910035.18489203",2,"653,698"
"SRR7910035.1867219","R1","SRR7910035.1867219",1,"698"
"SRR7910035.18798324","R1","SRR7910035.18798324",2,"653,698"
"SRR7910035.18831379","R1","SRR7910035.18831379",2,"653,698"
"SRR7910035.18895161","R1","SRR7910035.18895161",1,"698"
"SRR7910035.18966678","R1","SRR7910035.18966678",1,"653"
"SRR7910035.18981515","R1","SRR7910035.18981515",2,"653,698"
"SRR7910035.1899566","R1","SRR7910035.1899566",1,"653"
"SRR7910035.19221897","R1","SRR7910035.19221897",2,"653,698"
"SRR7910035.19268122","R1","SRR7910035.19268122",1,"653"
"SRR7910035.19343574","R1","SRR7910035.19343574",1,"653"
"SRR7910035.19375856","R1","SRR7910035.19375856",1,"698"
"SRR7910035.19405601","R1","SRR7910035.19405601",1,"653"
"SRR7910035.195471","R1","SRR7910035.195471",1,"698"
"SRR7910035.1964432","R1","SRR7910035.1964432",1,"698"
"SRR7910035.1970792","R1","SRR7910035.1970792",1,"698"
"SRR7910035.19802578","R1","SRR7910035.19802578",2,"653,698"
"SRR7910035.19812371","R1","SRR7910035.19812371",1,"653"
"SRR7910035.19946084","R1","SRR7910035.19946084",1,"653"
"SRR7910035.20097419","R1","SRR7910035.20097419",1,"653"
"SRR7910035.20213117","R1","SRR7910035.20213117",1,"698"
"SRR7910035.20324578","R1","SRR7910035.20324578",1,"653"
"SRR7910035.20345424","R1","SRR7910035.20345424",1,"698"
"SRR7910035.20432312","R1","SRR7910035.20432312",1,"653"
"SRR7910035.20447909","R1","SRR7910035.20447909",2,"653,698"
"SRR7910035.20470504","R1","SRR7910035.20470504",1,"698"
"SRR7910035.2051268","R1","SRR7910035.2051268",1,"698"
"SRR7910035.20650752","R1","SRR7910035.20650752",1,"653"
"SRR7910035.20743909","R1","SRR7910035.20743909",2,"653,698"
"SRR7910035.20794228","R1","SRR7910035.20794228",1,"653"
"SRR7910035.21050663","R1","SRR7910035.21050663",2,"653,698"
"SRR7910035.21240730","R1","SRR7910035.21240730",1,"653"
"SRR7910035.21299","R1","SRR7910035.21299",1,"653"
"SRR7910035.21476","R1","SRR7910035.21476",1,"653"
"SRR7910035.21584664","R1","SRR7910035.21584664",1,"698"
"SRR7910035.21792730","R1","SRR7910035.21792730",1,"653"
"SRR7910035.21996863","R1","SRR7910035.21996863",2,"653,698"
"SRR7910035.22034836","R1","SRR7910035.22034836",2,"653,698"
"SRR7910035.22112914","R1","SRR7910035.22112914",1,"698"
"SRR7910035.22196208","R1","SRR7910035.22196208",1,"653"
"SRR7910035.22207389","R1","SRR7910035.22207389",1,"698"
"SRR7910035.22258985","R1","SRR7910035.22258985",2,"653,698"
"SRR7910035.22286431","R1","SRR7910035.22286431",2,"653,698"
"SRR7910035.22573712","R1","SRR7910035.22573712",1,"653"
"SRR7910035.2267154","R1","SRR7910035.2267154",1,"698"
"SRR7910035.22694062","R1","SRR7910035.22694062",2,"653,698"
"SRR7910035.22701722","R1","SRR7910035.22701722",1,"653"
"SRR7910035.22805323","R1","SRR7910035.22805323",2,"653,698"
"SRR7910035.23248866","R1","SRR7910035.23248866",1,"653"
"SRR7910035.23341845","R1","SRR7910035.23341845",2,"653,698"
"SRR7910035.23444484","R1","SRR7910035.23444484",1,"698"
"SRR7910035.23542305","R1","SRR7910035.23542305",1,"653"
"SRR7910035.23576780","R1","SRR7910035.23576780",1,"653"
"SRR7910035.23601954","R1","SRR7910035.23601954",1,"698"
"SRR7910035.23672256","R1","SRR7910035.23672256",1,"653"
"SRR7910035.23922207","R1","SRR7910035.23922207",1,"698"
"SRR7910035.24004477","R1","SRR7910035.24004477",1,"653"
"SRR7910035.24151743","R1","SRR7910035.24151743",1,"653"
"SRR7910035.24197645","R1","SRR7910035.24197645",1,"698"
"SRR7910035.24517294","R1","SRR7910035.24517294",1,"653"
"SRR7910035.24638700","R1","SRR7910035.24638700",2,"653,698"
"SRR7910035.24648021","R1","SRR7910035.24648021",1,"653"
"SRR7910035.24669349","R1","SRR7910035.24669349",1,"653"
"SRR7910035.24697138","R1","SRR7910035.24697138",1,"698"
"SRR7910035.25079752","R1","SRR7910035.25079752",2,"653,698"
"SRR7910035.25095575","R1","SRR7910035.25095575",2,"653,698"
"SRR7910035.25528252","R1","SRR7910035.25528252",1,"653"
"SRR7910035.25866304","R1","SRR7910035.25866304",1,"653"
"SRR7910035.25938519","R1","SRR7910035.25938519",1,"698"
"SRR7910035.25975256","R1","SRR7910035.25975256",1,"653"
"SRR7910035.25988092","R1","SRR7910035.25988092",1,"698"
"SRR7910035.26049735","R1","SRR7910035.26049735",1,"653"
"SRR7910035.26336634","R1","SRR7910035.26336634",2,"653,698"
"SRR7910035.26367709","R1","SRR7910035.26367709",1,"653"
"SRR7910035.26633647","R1","SRR7910035.26633647",1,"653"
"SRR7910035.26997308","R1","SRR7910035.26997308",2,"653,698"
"SRR7910035.27146855","R1","SRR7910035.27146855",1,"653"
"SRR7910035.27323672","R1","SRR7910035.27323672",2,"653,698"
"SRR7910035.27365040","R1","SRR7910035.27365040",1,"698"
"SRR7910035.27458563","R1","SRR7910035.27458563",1,"698"
"SRR7910035.27586962","R1","SRR7910035.27586962",1,"698"
"SRR7910035.27920463","R1","SRR7910035.27920463",1,"698"
"SRR7910035.28085684","R1","SRR7910035.28085684",1,"653"
"SRR7910035.2842005","R1","SRR7910035.2842005",1,"653"
"SRR7910035.2962566","R1","SRR7910035.2962566",1,"653"
"SRR7910035.3137724","R1","SRR7910035.3137724",2,"653,698"
"SRR7910035.3257353","R1","SRR7910035.3257353",1,"653"
"SRR7910035.3323693","R1","SRR7910035.3323693",1,"653"
"SRR7910035.3347176","R1","SRR7910035.3347176",1,"698"
"SRR7910035.3359319","R1","SRR7910035.3359319",1,"698"
"SRR7910035.3381514","R1","SRR7910035.3381514",2,"653,698"
"SRR7910035.3393357","R1","SRR7910035.3393357",1,"653"
"SRR7910035.3469820","R1","SRR7910035.3469820",1,"653"
"SRR7910035.3507731","R1","SRR7910035.3507731",1,"698"
"SRR7910035.3522774","R1","SRR7910035.3522774",1,"698"
"SRR7910035.4074527","R1","SRR7910035.4074527",1,"653"
"SRR7910035.4434249","R1","SRR7910035.4434249",1,"698"
"SRR7910035.4631238","R1","SRR7910035.4631238",2,"653,698"
"SRR7910035.4968023","R1","SRR7910035.4968023",1,"653"
"SRR7910035.522575","R1","SRR7910035.522575",2,"653,698"
"SRR7910035.5327292","R1","SRR7910035.5327292",1,"653"
"SRR7910035.5566794","R1","SRR7910035.5566794",1,"698"
"SRR7910035.5634600","R1","SRR7910035.5634600",1,"698"
"SRR7910035.5807432","R1","SRR7910035.5807432",1,"653"
"SRR7910035.584164","R1","SRR7910035.584164",2,"653,698"
"SRR7910035.5977918","R1","SRR7910035.5977918",2,"653,698"
"SRR7910035.6064732","R1","SRR7910035.6064732",1,"698"
"SRR7910035.621828","R1","SRR7910035.621828",1,"698"
"SRR7910035.6264068","R1","SRR7910035.6264068",1,"698"
"SRR7910035.6681693","R1","SRR7910035.6681693",1,"653"
"SRR7910035.6854255","R1","SRR7910035.6854255",2,"653,698"
"SRR7910035.7242255","R1","SRR7910035.7242255",2,"653,698"
"SRR7910035.7307761","R1","SRR7910035.7307761",1,"653"
"SRR7910035.7427313","R1","SRR7910035.7427313",1,"698"
"SRR7910035.7435312","R1","SRR7910035.7435312",2,"653,698"
"SRR7910035.7758162","R1","SRR7910035.7758162",1,"698"
"SRR7910035.7759304","R1","SRR7910035.7759304",2,"653,698"
"SRR7910035.7766276","R1","SRR7910035.7766276",2,"653,698"
"SRR7910035.7885261","R1","SRR7910035.7885261",1,"698"
"SRR7910035.7896621","R1","SRR7910035.7896621",1,"698"
"SRR7910035.7934249","R1","SRR7910035.7934249",1,"698"
"SRR7910035.797336","R1","SRR7910035.797336",2,"653,698"
"SRR7910035.8057985","R1","SRR7910035.8057985",1,"653"
"SRR7910035.8328050","R1","SRR7910035.8328050",2,"653,698"
"SRR7910035.8584692","R1","SRR7910035.8584692",1,"653"
"SRR7910035.8732910","R1","SRR7910035.8732910",2,"653,698"
"SRR7910035.8750465","R1","SRR7910035.8750465",1,"698"
"SRR7910035.8828899","R1","SRR7910035.8828899",1,"653"
"SRR7910035.8901335","R1","SRR7910035.8901335",1,"698"
"SRR7910035.8944822","R1","SRR7910035.8944822",1,"698"
"SRR7910035.899114","R1","SRR7910035.899114",1,"698"
"SRR7910035.904988","R1","SRR7910035.904988",2,"653,698"
"SRR7910035.9070609","R1","SRR7910035.9070609",1,"653"
"SRR7910035.9264363","R1","SRR7910035.9264363",1,"698"
"SRR7910035.9414594","R1","SRR7910035.9414594",2,"653,698"
"SRR7910035.9435505","R1","SRR7910035.9435505",2,"653,698"
"SRR7910035.9811432","R1","SRR7910035.9811432",1,"653"
"SRR7910035.10334997","R2","SRR7910035.10334997",2,"653,698"
"SRR7910035.10419688","R2","SRR7910035.10419688",1,"698"
"SRR7910035.10456372","R2","SRR7910035.10456372",2,"653,698"
"SRR7910035.10523016","R2","SRR7910035.10523016",2,"653,698"
"SRR7910035.10897477","R2","SRR7910035.10897477",2,"653,698"
"SRR7910035.11021101","R2","SRR7910035.11021101",1,"698"
"SRR7910035.11083043","R2","SRR7910035.11083043",1,"653"
"SRR7910035.11127158","R2","SRR7910035.11127158",1,"698"
"SRR7910035.11156038","R2","SRR7910035.11156038",1,"653"
"SRR7910035.11156312","R2","SRR7910035.11156312",1,"653"
"SRR7910035.11271351","R2","SRR7910035.11271351",1,"698"
"SRR7910035.11287848","R2","SRR7910035.11287848",1,"653"
"SRR7910035.11312982","R2","SRR7910035.11312982",1,"653"
"SRR7910035.1141484","R2","SRR7910035.1141484",2,"653,698"
"SRR7910035.11518660","R2","SRR7910035.11518660",2,"653,698"
"SRR7910035.11527768","R2","SRR7910035.11527768",1,"698"
"SRR7910035.11607509","R2","SRR7910035.11607509",1,"653"
"SRR7910035.11835878","R2","SRR7910035.11835878",1,"698"
"SRR7910035.12113293","R2","SRR7910035.12113293",1,"698"
"SRR7910035.12493194","R2","SRR7910035.12493194",2,"653,698"
"SRR7910035.12625143","R2","SRR7910035.12625143",1,"653"
"SRR7910035.12822655","R2","SRR7910035.12822655",1,"698"
"SRR7910035.12873013","R2","SRR7910035.12873013",1,"653"
"SRR7910035.12893422","R2","SRR7910035.12893422",2,"653,698"
"SRR7910035.12905111","R2","SRR7910035.12905111",1,"698"
"SRR7910035.12937012","R2","SRR7910035.12937012",2,"653,698"
"SRR7910035.13033134","R2","SRR7910035.13033134",1,"698"
"SRR7910035.13234468","R2","SRR7910035.13234468",2,"653,698"
"SRR7910035.13527606","R2","SRR7910035.13527606",1,"653"
"SRR7910035.13676752","R2","SRR7910035.13676752",1,"698"
"SRR7910035.13708841","R2","SRR7910035.13708841",2,"653,698"
"SRR7910035.13878768","R2","SRR7910035.13878768",1,"698"
"SRR7910035.13962067","R2","SRR7910035.13962067",2,"653,698"
"SRR7910035.13976156","R2","SRR7910035.13976156",2,"653,698"
"SRR7910035.14359903","R2","SRR7910035.14359903",2,"653,698"
"SRR7910035.14689968","R2","SRR7910035.14689968",1,"698"
"SRR7910035.15071523","R2","SRR7910035.15071523",2,"653,698"
"SRR7910035.15128896","R2","SRR7910035.15128896",1,"698"
"SRR7910035.15159401","R2","SRR7910035.15159401",1,"653"
"SRR7910035.15198604","R2","SRR7910035.15198604",1,"698"
"SRR7910035.15399173","R2","SRR7910035.15399173",1,"653"
"SRR7910035.15436236","R2","SRR7910035.15436236",1,"653"
"SRR7910035.15436240","R2","SRR7910035.15436240",1,"653"
"SRR7910035.15872796","R2","SRR7910035.15872796",1,"653"
"SRR7910035.15908950","R2","SRR7910035.15908950",2,"653,698"
"SRR7910035.16198407","R2","SRR7910035.16198407",1,"698"
"SRR7910035.16958401","R2","SRR7910035.16958401",1,"698"
"SRR7910035.17032515","R2","SRR7910035.17032515",1,"698"
"SRR7910035.17059424","R2","SRR7910035.17059424",2,"653,698"
"SRR7910035.17724243","R2","SRR7910035.17724243",1,"653"
"SRR7910035.17795637","R2","SRR7910035.17795637",1,"653"
"SRR7910035.17913855","R2","SRR7910035.17913855",2,"653,698"
"SRR7910035.18061279","R2","SRR7910035.18061279",1,"653"
"SRR7910035.18107349","R2","SRR7910035.18107349",1,"698"
"SRR7910035.18361746","R2","SRR7910035.18361746",1,"653"
"SRR7910035.18489203","R2","SRR7910035.18489203",1,"698"
"SRR7910035.18589334","R2","SRR7910035.18589334",1,"698"
"SRR7910035.18638937","R2","SRR7910035.18638937",1,"698"
"SRR7910035.18734778","R2","SRR7910035.18734778",1,"653"
"SRR7910035.18775494","R2","SRR7910035.18775494",1,"698"
"SRR7910035.18798324","R2","SRR7910035.18798324",2,"653,698"
"SRR7910035.1899566","R2","SRR7910035.1899566",1,"653"
"SRR7910035.1910326","R2","SRR7910035.1910326",1,"653"
"SRR7910035.19375856","R2","SRR7910035.19375856",2,"653,698"
"SRR7910035.19523832","R2","SRR7910035.19523832",1,"698"
"SRR7910035.1964432","R2","SRR7910035.1964432",1,"653"
"SRR7910035.1970792","R2","SRR7910035.1970792",1,"653"
"SRR7910035.19788808","R2","SRR7910035.19788808",1,"698"
"SRR7910035.19884767","R2","SRR7910035.19884767",1,"653"
"SRR7910035.19917815","R2","SRR7910035.19917815",1,"698"
"SRR7910035.19998291","R2","SRR7910035.19998291",1,"653"
"SRR7910035.20172622","R2","SRR7910035.20172622",2,"653,698"
"SRR7910035.20213117","R2","SRR7910035.20213117",2,"653,698"
"SRR7910035.20231549","R2","SRR7910035.20231549",1,"698"
"SRR7910035.20345424","R2","SRR7910035.20345424",2,"653,698"
"SRR7910035.20470504","R2","SRR7910035.20470504",2,"653,698"
"SRR7910035.20743909","R2","SRR7910035.20743909",1,"653"
"SRR7910035.20916385","R2","SRR7910035.20916385",1,"698"
"SRR7910035.21101860","R2","SRR7910035.21101860",1,"698"
"SRR7910035.21499534","R2","SRR7910035.21499534",1,"698"
"SRR7910035.21792730","R2","SRR7910035.21792730",1,"653"
"SRR7910035.22031288","R2","SRR7910035.22031288",1,"653"
"SRR7910035.22034836","R2","SRR7910035.22034836",1,"653"
"SRR7910035.22196704","R2","SRR7910035.22196704",2,"653,698"
"SRR7910035.22327760","R2","SRR7910035.22327760",1,"698"
"SRR7910035.22529999","R2","SRR7910035.22529999",1,"653"
"SRR7910035.22620213","R2","SRR7910035.22620213",1,"653"
"SRR7910035.22647604","R2","SRR7910035.22647604",2,"653,698"
"SRR7910035.22694062","R2","SRR7910035.22694062",1,"653"
"SRR7910035.2284802","R2","SRR7910035.2284802",1,"653"
"SRR7910035.22867347","R2","SRR7910035.22867347",1,"698"
"SRR7910035.23078712","R2","SRR7910035.23078712",1,"653"
"SRR7910035.23248866","R2","SRR7910035.23248866",2,"653,698"
"SRR7910035.23299247","R2","SRR7910035.23299247",1,"698"
"SRR7910035.23341845","R2","SRR7910035.23341845",1,"653"
"SRR7910035.23521289","R2","SRR7910035.23521289",1,"653"
"SRR7910035.23542305","R2","SRR7910035.23542305",1,"653"
"SRR7910035.23850196","R2","SRR7910035.23850196",1,"698"
"SRR7910035.24132575","R2","SRR7910035.24132575",1,"698"
"SRR7910035.24197645","R2","SRR7910035.24197645",1,"653"
"SRR7910035.24449725","R2","SRR7910035.24449725",1,"698"
"SRR7910035.24588960","R2","SRR7910035.24588960",1,"653"
"SRR7910035.24667996","R2","SRR7910035.24667996",1,"698"
"SRR7910035.24697138","R2","SRR7910035.24697138",1,"653"
"SRR7910035.24749341","R2","SRR7910035.24749341",1,"698"
"SRR7910035.24781886","R2","SRR7910035.24781886",1,"698"
"SRR7910035.25155237","R2","SRR7910035.25155237",2,"653,698"
"SRR7910035.25422534","R2","SRR7910035.25422534",1,"698"
"SRR7910035.25858400","R2","SRR7910035.25858400",1,"653"
"SRR7910035.25866304","R2","SRR7910035.25866304",1,"653"
"SRR7910035.25924187","R2","SRR7910035.25924187",2,"653,698"
"SRR7910035.25952944","R2","SRR7910035.25952944",1,"698"
"SRR7910035.25975256","R2","SRR7910035.25975256",1,"698"
"SRR7910035.26154456","R2","SRR7910035.26154456",1,"698"
"SRR7910035.26225747","R2","SRR7910035.26225747",2,"653,698"
"SRR7910035.26271592","R2","SRR7910035.26271592",1,"653"
"SRR7910035.26737738","R2","SRR7910035.26737738",1,"653"
"SRR7910035.27073823","R2","SRR7910035.27073823",1,"698"
"SRR7910035.27323672","R2","SRR7910035.27323672",1,"698"
"SRR7910035.2734458","R2","SRR7910035.2734458",1,"698"
"SRR7910035.27365040","R2","SRR7910035.27365040",1,"653"
"SRR7910035.27798893","R2","SRR7910035.27798893",1,"698"
"SRR7910035.27920463","R2","SRR7910035.27920463",1,"653"
"SRR7910035.28124741","R2","SRR7910035.28124741",1,"653"
"SRR7910035.28164770","R2","SRR7910035.28164770",1,"698"
"SRR7910035.28299687","R2","SRR7910035.28299687",2,"653,698"
"SRR7910035.2951747","R2","SRR7910035.2951747",1,"698"
"SRR7910035.3137724","R2","SRR7910035.3137724",1,"653"
"SRR7910035.3230482","R2","SRR7910035.3230482",1,"653"
"SRR7910035.3256620","R2","SRR7910035.3256620",1,"653"
"SRR7910035.3347176","R2","SRR7910035.3347176",1,"653"
"SRR7910035.3359319","R2","SRR7910035.3359319",2,"653,698"
"SRR7910035.3381514","R2","SRR7910035.3381514",1,"653"
"SRR7910035.3433064","R2","SRR7910035.3433064",1,"698"
"SRR7910035.3522774","R2","SRR7910035.3522774",1,"653"
"SRR7910035.3646190","R2","SRR7910035.3646190",1,"698"
"SRR7910035.3878593","R2","SRR7910035.3878593",1,"653"
"SRR7910035.3890424","R2","SRR7910035.3890424",2,"653,698"
"SRR7910035.3927255","R2","SRR7910035.3927255",1,"698"
"SRR7910035.3994825","R2","SRR7910035.3994825",1,"698"
"SRR7910035.4055018","R2","SRR7910035.4055018",2,"653,698"
"SRR7910035.4074527","R2","SRR7910035.4074527",2,"653,698"
"SRR7910035.4345970","R2","SRR7910035.4345970",1,"698"
"SRR7910035.4434249","R2","SRR7910035.4434249",1,"653"
"SRR7910035.4557659","R2","SRR7910035.4557659",1,"698"
"SRR7910035.4689535","R2","SRR7910035.4689535",1,"698"
"SRR7910035.4848486","R2","SRR7910035.4848486",2,"653,698"
"SRR7910035.4944279","R2","SRR7910035.4944279",1,"698"
"SRR7910035.4968023","R2","SRR7910035.4968023",1,"653"
"SRR7910035.5100764","R2","SRR7910035.5100764",1,"698"
"SRR7910035.522575","R2","SRR7910035.522575",2,"653,698"
"SRR7910035.5422771","R2","SRR7910035.5422771",1,"653"
"SRR7910035.5506856","R2","SRR7910035.5506856",1,"698"
"SRR7910035.5566794","R2","SRR7910035.5566794",2,"653,698"
"SRR7910035.5746393","R2","SRR7910035.5746393",1,"653"
"SRR7910035.5772330","R2","SRR7910035.5772330",1,"653"
"SRR7910035.5977918","R2","SRR7910035.5977918",1,"653"
"SRR7910035.6073199","R2","SRR7910035.6073199",2,"653,698"
"SRR7910035.6083625","R2","SRR7910035.6083625",1,"698"
"SRR7910035.6310370","R2","SRR7910035.6310370",1,"698"
"SRR7910035.6537663","R2","SRR7910035.6537663",1,"653"
"SRR7910035.7299495","R2","SRR7910035.7299495",2,"653,698"
"SRR7910035.7427313","R2","SRR7910035.7427313",2,"653,698"
"SRR7910035.7435312","R2","SRR7910035.7435312",1,"698"
"SRR7910035.7477439","R2","SRR7910035.7477439",1,"698"
"SRR7910035.7524765","R2","SRR7910035.7524765",1,"698"
"SRR7910035.7758162","R2","SRR7910035.7758162",1,"653"
"SRR7910035.7766276","R2","SRR7910035.7766276",1,"653"
"SRR7910035.787247","R2","SRR7910035.787247",1,"698"
"SRR7910035.7921789","R2","SRR7910035.7921789",1,"653"
"SRR7910035.7971912","R2","SRR7910035.7971912",2,"653,698"
"SRR7910035.8044420","R2","SRR7910035.8044420",1,"653"
"SRR7910035.8067988","R2","SRR7910035.8067988",1,"698"
"SRR7910035.8171228","R2","SRR7910035.8171228",1,"698"
"SRR7910035.837090","R2","SRR7910035.837090",2,"653,698"
"SRR7910035.8376686","R2","SRR7910035.8376686",1,"698"
"SRR7910035.8548006","R2","SRR7910035.8548006",1,"698"
"SRR7910035.8621612","R2","SRR7910035.8621612",1,"653"
"SRR7910035.8651673","R2","SRR7910035.8651673",1,"653"
"SRR7910035.8729990","R2","SRR7910035.8729990",1,"698"
"SRR7910035.899114","R2","SRR7910035.899114",1,"698"
"SRR7910035.904988","R2","SRR7910035.904988",2,"653,698"
"SRR7910035.9070609","R2","SRR7910035.9070609",1,"698"
"SRR7910035.9155800","R2","SRR7910035.9155800",1,"653"
"SRR7910035.9295551","R2","SRR7910035.9295551",1,"653"
"SRR7910035.9435505","R2","SRR7910035.9435505",1,"653"
"SRR7910035.9630155","R2","SRR7910035.9630155",2,"653,698"
"SRR7910035.9756371","R2","SRR7910035.9756371",1,"698"
