"pair_id","mate","orientation_role","full_read_length","hsp_sstart","hsp_send","hsp_strand","gap_facing_nt_start","gap_facing_nt_end","gap_facing_nt_length","gap_position_start","gap_position_end","aligned_aa","pident_aa","evidence_class","class_reason"
"SRR7910035.12937012","R2","N",300,3,125,"forward",126,300,175,649,706,58,93.1,"A","54/58 interpretable aa match (93.1%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.12937012","R1","C",301,130,2,"reverse",131,301,171,676,732,57,98.2,"A","56/57 interpretable aa match (98.2%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.15436240","R2","N",298,1,195,"forward",196,298,103,649,682,34,88.2,"A","30/34 interpretable aa match (88.2%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.15436240","R1","C",301,301,2,"reverse",NA,NA,0,NA,NA,0,NA,"D","Gap-facing nucleotide segment is < 30 nt (0 nt)."
"SRR7910035.17087479","R2","N",298,3,296,"forward",297,298,2,NA,NA,0,NA,"D","Gap-facing nucleotide segment is < 30 nt (2 nt)."
"SRR7910035.17087479","R1","C",301,184,14,"reverse",185,301,117,694,732,39,82.1,"A","32/39 interpretable aa match (82.1%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.18235913","R2","N",301,3,266,"forward",267,301,35,NA,NA,0,NA,"D",">=30 nt candidate exists, but no codon-anchored extension into TAC102 gap could be established from the original HSP."
"SRR7910035.18235913","R1","C",301,270,1,"reverse",271,301,31,NA,NA,0,NA,"D",">=30 nt candidate exists, but no codon-anchored extension into TAC102 gap could be established from the original HSP."
"SRR7910035.19346284","R2","N",301,3,299,"forward",300,301,2,NA,NA,0,NA,"D","Gap-facing nucleotide segment is < 30 nt (2 nt)."
"SRR7910035.19346284","R1","C",301,136,2,"reverse",137,301,165,678,732,55,90.9,"A","50/55 interpretable aa match (90.9%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.1964432","R2","N",298,1,132,"forward",133,298,166,649,703,55,96.4,"A","53/55 interpretable aa match (96.4%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.1964432","R1","C",301,108,1,"reverse",109,301,193,669,732,64,98.4,"A","63/64 interpretable aa match (98.4%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.1970792","R2","N",301,1,129,"forward",130,301,172,649,705,57,82.5,"A","47/57 interpretable aa match (82.5%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.1970792","R1","C",301,164,3,"reverse",165,301,137,688,732,45,95.6,"A","43/45 interpretable aa match (95.6%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.2051268","R2","N",299,2,298,"forward",299,299,1,NA,NA,0,NA,"D","Gap-facing nucleotide segment is < 30 nt (1 nt)."
"SRR7910035.2051268","R1","C",301,150,1,"reverse",151,301,151,683,732,50,88,"A","44/50 interpretable aa match (88.0%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.20819473","R2","N",300,5,232,"forward",233,300,68,649,667,19,36.8,"B","7/19 interpretable aa match (36.8%), below Class A threshold. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.20819473","R1","C",301,299,3,"reverse",300,301,2,NA,NA,0,NA,"D","Gap-facing nucleotide segment is < 30 nt (2 nt)."
"SRR7910035.21033183","R2","N",300,2,256,"forward",257,300,44,649,655,7,14.3,"C","1/7 interpretable aa match (14.3%), no qualifying A/B correspondence."
"SRR7910035.21033183","R1","C",301,170,3,"reverse",171,301,131,690,732,43,79.1,"A","34/43 interpretable aa match (79.1%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.21299","R1","N",299,2,181,"forward",182,299,118,649,687,39,89.7,"A","35/39 interpretable aa match (89.7%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.21299","R2","C",301,214,44,"reverse",215,301,87,704,732,28,89.3,"A","25/28 interpretable aa match (89.3%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.21584664","R2","N",300,1,192,"forward",193,300,108,649,684,36,63.9,"A","23/36 interpretable aa match (63.9%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.21584664","R1","C",301,151,2,"reverse",152,301,150,683,732,50,96,"A","48/50 interpretable aa match (96.0%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.23078712","R2","N",300,3,134,"forward",135,300,166,649,703,55,92.7,"A","51/55 interpretable aa match (92.7%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.23078712","R1","C",301,215,45,"reverse",216,301,86,705,732,28,92.9,"A","26/28 interpretable aa match (92.9%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.23521289","R2","N",300,3,191,"forward",192,300,109,649,684,36,77.8,"A","28/36 interpretable aa match (77.8%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.23521289","R1","C",301,208,38,"reverse",209,301,93,702,732,31,100,"A","31/31 interpretable aa match (100.0%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.24197645","R2","N",301,1,204,"forward",205,301,97,649,680,32,81.2,"A","26/32 interpretable aa match (81.2%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.24197645","R1","C",301,108,1,"reverse",109,301,193,669,732,64,96.9,"A","62/64 interpretable aa match (96.9%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.24697138","R2","N",301,3,143,"forward",144,301,158,649,700,52,82.7,"A","43/52 interpretable aa match (82.7%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.24697138","R1","C",301,124,2,"reverse",125,301,177,674,732,59,94.9,"A","56/59 interpretable aa match (94.9%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.25988092","R2","N",299,2,190,"forward",191,299,109,649,683,35,62.9,"A","22/35 interpretable aa match (62.9%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.25988092","R1","C",301,162,1,"reverse",163,301,139,687,732,46,95.7,"A","44/46 interpretable aa match (95.7%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.26317054","R2","N",301,1,276,"forward",277,301,25,NA,NA,0,NA,"D","Gap-facing nucleotide segment is < 30 nt (25 nt)."
"SRR7910035.26317054","R1","C",301,189,19,"reverse",190,301,112,696,732,37,73,"A","27/37 interpretable aa match (73.0%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.26367709","R1","N",301,3,257,"forward",258,301,44,649,661,13,92.3,"A","12/13 interpretable aa match (92.3%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.26367709","R2","C",301,242,72,"reverse",243,301,59,714,732,19,89.5,"A","17/19 interpretable aa match (89.5%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.27336957","R2","N",300,3,284,"forward",285,300,16,NA,NA,0,NA,"D","Gap-facing nucleotide segment is < 30 nt (16 nt)."
"SRR7910035.27336957","R1","C",301,292,2,"reverse",293,301,9,NA,NA,0,NA,"D","Gap-facing nucleotide segment is < 30 nt (9 nt)."
"SRR7910035.27458563","R2","N",301,3,254,"forward",255,301,47,649,662,14,71.4,"A","10/14 interpretable aa match (71.4%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.27458563","R1","C",301,112,2,"reverse",113,301,189,670,732,63,96.8,"A","61/63 interpretable aa match (96.8%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.3301201","R2","N",301,4,162,"forward",163,301,139,649,693,45,57.8,"A","26/45 interpretable aa match (57.8%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.3301201","R1","C",301,275,3,"reverse",276,301,26,NA,NA,0,NA,"D","Gap-facing nucleotide segment is < 30 nt (26 nt)."
"SRR7910035.3359319","R2","N",300,3,116,"forward",117,300,184,649,709,61,91.8,"A","56/61 interpretable aa match (91.8%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.3359319","R1","C",301,110,3,"reverse",111,301,191,670,732,63,98.4,"A","62/63 interpretable aa match (98.4%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.3421399","R2","N",301,1,279,"forward",280,301,22,NA,NA,0,NA,"D","Gap-facing nucleotide segment is < 30 nt (22 nt)."
"SRR7910035.3421399","R1","C",301,214,44,"reverse",215,301,87,704,732,29,86.2,"A","25/29 interpretable aa match (86.2%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.3520646","R2","N",301,1,240,"forward",241,301,61,649,668,20,65,"A","13/20 interpretable aa match (65.0%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.3520646","R1","C",301,170,3,"reverse",171,301,131,690,732,43,83.7,"A","36/43 interpretable aa match (83.7%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.3522774","R2","N",300,3,188,"forward",189,300,112,649,685,37,86.5,"A","32/37 interpretable aa match (86.5%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.3522774","R1","C",301,162,1,"reverse",163,301,139,687,732,46,97.8,"A","45/46 interpretable aa match (97.8%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.3831778","R2","N",298,1,105,"forward",106,298,193,649,712,64,65.6,"A","42/64 interpretable aa match (65.6%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.3831778","R1","C",301,213,43,"reverse",214,301,88,704,732,29,86.2,"A","25/29 interpretable aa match (86.2%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.621828","R2","N",300,1,186,"forward",187,300,114,649,686,37,89.2,"A","33/37 interpretable aa match (89.2%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.621828","R1","C",301,117,1,"reverse",118,301,184,672,732,61,98.4,"A","60/61 interpretable aa match (98.4%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.6537663","R2","N",301,3,221,"forward",222,301,80,649,674,26,92.3,"A","24/26 interpretable aa match (92.3%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.6537663","R1","C",301,193,23,"reverse",194,301,108,697,732,36,97.2,"A","35/36 interpretable aa match (97.2%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.6717252","R2","N",301,2,232,"forward",233,301,69,649,670,22,77.3,"A","17/22 interpretable aa match (77.3%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.6717252","R1","C",301,187,17,"reverse",188,301,114,695,732,38,97.4,"A","37/38 interpretable aa match (97.4%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.8621612","R2","N",300,3,167,"forward",168,300,133,649,692,44,77.3,"A","34/44 interpretable aa match (77.3%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.8621612","R1","C",301,184,14,"reverse",185,301,117,694,732,39,89.7,"A","35/39 interpretable aa match (89.7%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.8944822","R2","N",300,2,226,"forward",227,300,74,649,671,23,60.9,"A","14/23 interpretable aa match (60.9%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.8944822","R1","C",301,119,3,"reverse",120,301,182,673,732,60,96.7,"A","58/60 interpretable aa match (96.7%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.9218689","R2","N",300,3,218,"forward",219,300,82,649,675,27,55.6,"A","15/27 interpretable aa match (55.6%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.9218689","R1","C",301,133,2,"reverse",134,301,168,677,732,56,85.7,"A","48/56 interpretable aa match (85.7%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.9264363","R2","N",300,1,228,"forward",229,300,72,649,672,24,70.8,"A","17/24 interpretable aa match (70.8%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.9264363","R1","C",301,134,3,"reverse",135,301,167,678,732,55,87.3,"A","48/55 interpretable aa match (87.3%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.9295551","R2","N",301,3,173,"forward",174,301,128,649,690,42,83.3,"A","35/42 interpretable aa match (83.3%), original-HSP-frame codon-anchored extension. NOTE: literal nucleotide-reference criterion unavailable because TAC102 CDS reference is not present."
"SRR7910035.9295551","R1","C",301,301,2,"reverse",NA,NA,0,NA,NA,0,NA,"D","Gap-facing nucleotide segment is < 30 nt (0 nt)."
