"qseqid","sseqid","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore","gene","mate","qstart_raw","qend_raw","sstart_raw","send_raw"
"ATPF1G","SRR7910035.1112058",98.99,99,1,0,85,183,1,297,1.38e-66,209,"ATPF1G","R1",85,183,1,297
"ATPF1G","SRR7910035.19942198",98,100,2,0,39,138,2,301,1.49e-66,209,"ATPF1G","R1",39,138,2,301
"ATPF1G","SRR7910035.19281641",98,100,2,0,63,162,1,300,1.5e-66,209,"ATPF1G","R1",63,162,300,1
"ATPF1G","SRR7910035.22476035",98,100,2,0,57,156,2,301,1.54e-66,209,"ATPF1G","R1",57,156,301,2
"ATPF1G","SRR7910035.24751605",99,100,1,0,121,220,2,301,1.55e-66,209,"ATPF1G","R1",121,220,301,2
"ATPF1G","SRR7910035.20071868",98.99,99,1,0,68,166,3,299,1.61e-66,209,"ATPF1G","R1",68,166,299,3
"ATPF1G","SRR7910035.17096473",98.99,99,1,0,68,166,3,299,1.61e-66,209,"ATPF1G","R1",68,166,3,299
"ATPF1G","SRR7910035.21151701",98.99,99,1,0,82,180,2,298,1.61e-66,209,"ATPF1G","R1",82,180,2,298
"ATPF1G","SRR7910035.6585965",98,100,2,0,122,221,1,300,1.62e-66,209,"ATPF1G","R1",122,221,300,1
"ATPF1G","SRR7910035.19598829",98.99,99,1,0,82,180,3,299,1.66e-66,209,"ATPF1G","R1",82,180,299,3
"ATPF1G","SRR7910035.20340676",98,100,2,0,98,197,1,300,1.71e-66,209,"ATPF1G","R1",98,197,300,1
"ATPF1G","SRR7910035.15713553",98.99,99,1,0,69,167,3,299,1.77e-66,209,"ATPF1G","R1",69,167,299,3
"ATPF1G","SRR7910035.7054045",98.99,99,1,0,69,167,3,299,1.77e-66,209,"ATPF1G","R1",69,167,299,3
"ATPF1G","SRR7910035.27343105",99,100,1,0,32,131,2,301,1.79e-66,209,"ATPF1G","R1",32,131,301,2
"ATPF1G","SRR7910035.21583740",99,100,1,0,32,131,2,301,1.79e-66,209,"ATPF1G","R1",32,131,2,301
"ATPF1G","SRR7910035.2896877",99,100,1,0,32,131,2,301,1.79e-66,209,"ATPF1G","R1",32,131,2,301
"ATPF1G","SRR7910035.7309710",98,100,2,0,65,164,1,300,1.89e-66,209,"ATPF1G","R1",65,164,300,1
"ATPF1G","SRR7910035.1650385",98.99,99,1,0,45,143,3,299,1.89e-66,209,"ATPF1G","R1",45,143,299,3
"ATPF1G","SRR7910035.27028768",98.99,99,1,0,65,163,3,299,1.91e-66,209,"ATPF1G","R1",65,163,3,299
"ATPF1G","SRR7910035.25151865",98.99,99,1,0,65,163,3,299,1.91e-66,209,"ATPF1G","R1",65,163,299,3
"ATPF1G","SRR7910035.27566269",98.99,99,1,0,71,169,3,299,1.93e-66,209,"ATPF1G","R1",71,169,3,299
"ATPF1G","SRR7910035.7521633",98,100,2,0,85,184,1,300,1.93e-66,209,"ATPF1G","R1",85,184,300,1
"ATPF1G","SRR7910035.2479766",99,100,1,0,126,225,1,300,2e-66,209,"ATPF1G","R1",126,225,300,1
"ATPF1G","SRR7910035.27322175",98,100,2,0,108,207,1,300,2.02e-66,209,"ATPF1G","R1",108,207,300,1
"ATPF1G","SRR7910035.20138921",98,100,2,0,108,207,1,300,2.02e-66,209,"ATPF1G","R1",108,207,300,1
"ATPF1G","SRR7910035.24346577",98.99,99,1,0,49,147,3,299,2.04e-66,209,"ATPF1G","R1",49,147,3,299
"ATPF1G","SRR7910035.11945333",98.99,99,1,0,50,148,3,299,2.04e-66,209,"ATPF1G","R1",50,148,3,299
"ATPF1G","SRR7910035.21287703",99,100,1,0,36,135,1,300,2.06e-66,209,"ATPF1G","R1",36,135,300,1
"ATPF1G","SRR7910035.7314414",98.99,99,1,0,77,175,3,299,2.18e-66,208,"ATPF1G","R1",77,175,3,299
"ATPF1G","SRR7910035.9491803",98,100,2,0,44,143,2,301,2.48e-66,208,"ATPF1G","R1",44,143,301,2
"ATPF1G","SRR7910035.16453819",98,100,2,0,48,147,1,300,2.57e-66,208,"ATPF1G","R1",48,147,300,1
"ATPF1G","SRR7910035.16451442",99,100,1,0,128,227,2,301,2.57e-66,208,"ATPF1G","R1",128,227,301,2
"ATPF1G","SRR7910035.25936591",99,100,1,0,129,228,2,301,2.62e-66,208,"ATPF1G","R1",129,228,301,2
"ATPF1G","SRR7910035.21576143",99,100,1,0,127,226,1,300,2.62e-66,208,"ATPF1G","R1",127,226,1,300
"ATPF1G","SRR7910035.20358388",99,100,1,0,129,228,2,301,2.62e-66,208,"ATPF1G","R1",129,228,301,2
"ATPF1G","SRR7910035.16579271",99,100,1,0,129,228,2,301,2.62e-66,208,"ATPF1G","R1",129,228,301,2
"ATPF1G","SRR7910035.20610478",98.99,99,1,0,60,158,3,299,2.65e-66,208,"ATPF1G","R1",60,158,299,3
"ATPF1G","SRR7910035.21605658",98.99,99,1,0,38,136,3,299,2.74e-66,208,"ATPF1G","R1",38,136,3,299
"ATPF1G","SRR7910035.13262253",98.99,99,1,0,38,136,3,299,2.74e-66,208,"ATPF1G","R1",38,136,299,3
"ATPF1G","SRR7910035.11897834",98.99,99,1,0,38,136,3,299,2.74e-66,208,"ATPF1G","R1",38,136,3,299
"ATPF1G","SRR7910035.4999746",98.99,99,1,0,56,154,3,299,2.74e-66,208,"ATPF1G","R1",56,154,3,299
"ATPF1G","SRR7910035.1997882",98.99,99,1,0,38,136,3,299,2.74e-66,208,"ATPF1G","R1",38,136,3,299
"ATPF1G","SRR7910035.16586115",98.99,99,1,0,78,176,3,299,2.77e-66,208,"ATPF1G","R1",78,176,3,299
"ATPF1G","SRR7910035.116164",98.99,99,1,0,78,176,3,299,2.77e-66,208,"ATPF1G","R1",78,176,3,299
"ATPF1G","SRR7910035.9854568",97.98,99,2,0,93,191,3,299,2.83e-66,208,"ATPF1G","R1",93,191,3,299
"ATPF1G","SRR7910035.5505393",98,100,2,0,117,216,2,301,2.89e-66,208,"ATPF1G","R1",117,216,2,301
"ATPF1G","SRR7910035.8069035",98.99,99,1,0,46,144,3,299,3.02e-66,208,"ATPF1G","R1",46,144,299,3
"ATPF1G","SRR7910035.12009744",97.98,99,2,0,102,200,3,299,3.05e-66,208,"ATPF1G","R1",102,200,3,299
"ATPF1G","SRR7910035.8809255",98,100,2,0,113,212,2,301,3.09e-66,208,"ATPF1G","R1",113,212,301,2
"ATPF1G","SRR7910035.2467783",98,100,2,0,113,212,1,300,3.09e-66,208,"ATPF1G","R1",113,212,300,1
"ATPF1G","SRR7910035.22810597",97,100,3,0,102,201,2,301,3.16e-66,208,"ATPF1G","R1",102,201,301,2
"ATPF1G","SRR7910035.18558037",98,100,2,0,88,187,2,301,3.22e-66,208,"ATPF1G","R1",88,187,301,2
"ATPF1G","SRR7910035.27755504",98.99,99,1,0,54,152,3,299,3.26e-66,208,"ATPF1G","R1",54,152,3,299
"ATPF1G","SRR7910035.5877889",98.99,99,1,0,54,152,3,299,3.26e-66,208,"ATPF1G","R1",54,152,299,3
"ATPF1G","SRR7910035.15595096",98.99,99,1,0,64,162,3,299,3.3e-66,208,"ATPF1G","R1",64,162,299,3
"ATPF1G","SRR7910035.3777878",98.99,99,1,0,55,153,2,298,3.3e-66,208,"ATPF1G","R1",55,153,298,2
"ATPF1G","SRR7910035.12531516",98,100,2,0,111,210,1,300,3.33e-66,208,"ATPF1G","R1",111,210,300,1
"ATPF1G","SRR7910035.2236278",98,100,2,0,111,210,1,300,3.33e-66,208,"ATPF1G","R1",111,210,300,1
"ATPF1G","SRR7910035.2031989",98,100,2,0,111,210,2,301,3.33e-66,208,"ATPF1G","R1",111,210,301,2
"ATPF1G","SRR7910035.27662621",98,100,2,0,107,206,1,300,3.48e-66,208,"ATPF1G","R1",107,206,300,1
"ATPF1G","SRR7910035.26756828",97.98,99,2,0,105,203,3,299,3.76e-66,208,"ATPF1G","R1",105,203,3,299
"ATPF1G","SRR7910035.12423392",97.98,99,2,0,105,203,3,299,3.76e-66,208,"ATPF1G","R1",105,203,3,299
"ATPF1G","SRR7910035.27113957",98,100,2,0,116,215,2,301,3.8e-66,208,"ATPF1G","R1",116,215,2,301
"ATPF1G","SRR7910035.22248487",98,100,2,0,116,215,1,300,3.8e-66,208,"ATPF1G","R1",116,215,1,300
"ATPF1G","SRR7910035.8526431",98,100,2,0,116,215,1,300,3.8e-66,208,"ATPF1G","R1",116,215,1,300
"ATPF1G","SRR7910035.19259579",97,100,3,0,93,192,1,300,4.01e-66,208,"ATPF1G","R1",93,192,1,300
"ATPF1G","SRR7910035.20800540",98.99,99,1,0,62,160,3,299,4.1e-66,208,"ATPF1G","R1",62,160,299,3
"ATPF1G","SRR7910035.15530391",98.99,99,1,0,62,160,3,299,4.1e-66,208,"ATPF1G","R1",62,160,299,3
"ATPF1G","SRR7910035.27074542",98.99,99,1,0,124,222,3,299,4.14e-66,208,"ATPF1G","R1",124,222,299,3
"ATPF1G","SRR7910035.6820970",98.99,99,1,0,124,222,2,298,4.14e-66,208,"ATPF1G","R1",124,222,298,2
"ATPF1G","SRR7910035.21771451",98.99,99,1,0,79,177,3,299,4.33e-66,208,"ATPF1G","R1",79,177,299,3
"ATPF1G","SRR7910035.16959901",99,100,1,0,31,130,2,301,4.37e-66,207,"ATPF1G","R1",31,130,301,2
"ATPF1G","SRR7910035.12562325",97.98,99,2,0,103,201,3,299,4.37e-66,207,"ATPF1G","R1",103,201,299,3
"ATPF1G","SRR7910035.5079286",97.98,99,2,0,103,201,3,299,4.37e-66,207,"ATPF1G","R1",103,201,3,299
"ATPF1G","SRR7910035.26276958",98,100,2,0,95,194,2,301,4.47e-66,207,"ATPF1G","R1",95,194,301,2
"ATPF1G","SRR7910035.14039788",98,100,2,0,95,194,1,300,4.47e-66,207,"ATPF1G","R1",95,194,1,300
"ATPF1G","SRR7910035.12013624",98,100,2,0,95,194,2,301,4.47e-66,207,"ATPF1G","R1",95,194,301,2
"ATPF1G","SRR7910035.21824342",97,100,3,0,61,160,2,301,4.52e-66,207,"ATPF1G","R1",61,160,2,301
"ATPF1G","SRR7910035.6421401",98,100,2,0,96,195,1,300,4.67e-66,207,"ATPF1G","R1",96,195,300,1
"ATPF1G","SRR7910035.11105414",98,100,2,0,85,184,1,300,4.72e-66,207,"ATPF1G","R1",85,184,300,1
"ATPF1G","SRR7910035.9467112",98.99,99,1,0,53,151,2,298,4.73e-66,207,"ATPF1G","R1",53,151,2,298
"ATPF1G","SRR7910035.26116752",98.99,99,1,0,53,151,3,299,4.88e-66,207,"ATPF1G","R1",53,151,3,299
"ATPF1G","SRR7910035.14565172",98.99,99,1,0,53,151,2,298,4.88e-66,207,"ATPF1G","R1",53,151,298,2
"ATPF1G","SRR7910035.7461568",98.99,99,1,0,53,151,3,299,4.88e-66,207,"ATPF1G","R1",53,151,3,299
"ATPF1G","SRR7910035.598449",98.99,99,1,0,53,151,3,299,4.88e-66,207,"ATPF1G","R1",53,151,299,3
"ATPF1G","SRR7910035.4791617",97.98,99,2,0,106,204,3,299,4.98e-66,207,"ATPF1G","R1",106,204,3,299
"ATPF1G","SRR7910035.28109423",98,100,2,0,32,131,2,301,5.04e-66,207,"ATPF1G","R1",32,131,2,301
"ATPF1G","SRR7910035.16615752",99,100,1,0,135,234,2,301,5.09e-66,207,"ATPF1G","R1",135,234,301,2
"ATPF1G","SRR7910035.24194277",98,100,2,0,94,193,2,301,5.56e-66,207,"ATPF1G","R1",94,193,2,301
"ATPF1G","SRR7910035.19998881",98,100,2,0,94,193,2,301,5.56e-66,207,"ATPF1G","R1",94,193,301,2
"ATPF1G","SRR7910035.5719597",99,100,1,0,29,128,2,301,5.56e-66,207,"ATPF1G","R1",29,128,2,301
"ATPF1G","SRR7910035.3677438",99,100,1,0,29,128,2,301,5.56e-66,207,"ATPF1G","R1",29,128,301,2
"ATPF1G","SRR7910035.11135560",98.99,99,1,0,125,223,3,299,5.62e-66,207,"ATPF1G","R1",125,223,299,3
"ATPF1G","SRR7910035.8496540",98.99,99,1,0,125,223,3,299,5.62e-66,207,"ATPF1G","R1",125,223,3,299
"ATPF1G","SRR7910035.23039611",97.98,99,2,0,48,146,2,298,6e-66,207,"ATPF1G","R1",48,146,298,2
"ATPF1G","SRR7910035.6871960",97.98,99,2,0,100,198,2,298,6.27e-66,207,"ATPF1G","R1",100,198,298,2
"ATPF1G","SRR7910035.18318592",98,100,2,0,48,147,1,300,6.33e-66,207,"ATPF1G","R1",48,147,300,1
"ATPF1G","SRR7910035.3566748",99,100,1,0,28,127,2,301,6.4e-66,207,"ATPF1G","R1",28,127,301,2
"ATPF1G","SRR7910035.4306179",98,100,2,0,84,183,1,300,6.54e-66,207,"ATPF1G","R1",84,183,1,300
"ATPF1G","SRR7910035.24813849",99,100,1,0,30,129,2,301,7.06e-66,207,"ATPF1G","R1",30,129,2,301
"ATPF1G","SRR7910035.26835752",99,100,1,0,133,232,1,300,7.38e-66,207,"ATPF1G","R1",133,232,1,300
"ATPF1G","SRR7910035.10291408",98.99,99,1,0,126,224,2,298,7.79e-66,207,"ATPF1G","R1",126,224,298,2
"ATPF1G","SRR7910035.8864613",98.99,99,1,0,126,224,3,299,7.79e-66,207,"ATPF1G","R1",126,224,3,299
"ATPF1G","SRR7910035.25208034",98,100,2,0,64,163,1,300,7.87e-66,207,"ATPF1G","R1",64,163,1,300
"ATPF1G","SRR7910035.23140393",97.98,99,2,0,87,185,3,299,7.87e-66,207,"ATPF1G","R1",87,185,299,3
"ATPF1G","SRR7910035.25377585",97.98,99,2,0,50,148,3,299,7.96e-66,207,"ATPF1G","R1",50,148,299,3
"ATPF1G","SRR7910035.12645218",96,100,4,0,81,180,1,300,7.96e-66,207,"ATPF1G","R1",81,180,300,1
"ATPF1G","SRR7910035.5712545",99,100,1,0,24,123,2,301,8.32e-66,207,"ATPF1G","R1",24,123,301,2
"ATPF1G","SRR7910035.1555667",98,100,2,0,56,155,1,300,8.41e-66,207,"ATPF1G","R1",56,155,300,1
"ATPF1G","SRR7910035.11689200",97,100,3,0,38,137,2,301,8.69e-66,207,"ATPF1G","R1",38,137,2,301
"ATPF1G","SRR7910035.8063995",97,100,3,0,75,174,1,300,8.97e-66,207,"ATPF1G","R1",75,174,1,300
"ATPF1G","SRR7910035.26527305",98,100,2,0,55,154,1,300,9.48e-66,207,"ATPF1G","R1",55,154,300,1
"ATPF1G","SRR7910035.3284076",97.98,99,2,0,98,196,3,299,1e-65,207,"ATPF1G","R1",98,196,299,3
"ATPF1G","SRR7910035.26207979",96.97,99,3,0,102,200,3,299,1.01e-65,207,"ATPF1G","R1",102,200,299,3
"ATPF1G","SRR7910035.17288432",98.99,99,1,0,121,219,3,299,1.06e-65,207,"ATPF1G","R1",121,219,299,3
"ATPF1G","SRR7910035.13424559",97.98,99,2,0,99,197,3,299,1.09e-65,207,"ATPF1G","R1",99,197,299,3
"ATPF1G","SRR7910035.24703336",99,100,1,0,136,235,2,301,1.12e-65,207,"ATPF1G","R1",136,235,301,2
"ATPF1G","SRR7910035.16833264",99,100,1,0,136,235,2,301,1.12e-65,207,"ATPF1G","R1",136,235,2,301
"ATPF1G","SRR7910035.10461247",99,100,1,0,136,235,1,300,1.12e-65,207,"ATPF1G","R1",136,235,1,300
"ATPF1G","SRR7910035.5414286",99,100,1,0,136,235,1,300,1.12e-65,207,"ATPF1G","R1",136,235,1,300
"ATPF1G","SRR7910035.9756017",100,100,0,0,10,109,1,300,1.13e-65,207,"ATPF1G","R1",10,109,300,1
"ATPF1G","SRR7910035.5560078",100,100,0,0,10,109,1,300,1.13e-65,207,"ATPF1G","R1",10,109,1,300
"ATPF1G","SRR7910035.3851766",100,100,0,0,9,108,2,301,1.13e-65,207,"ATPF1G","R1",9,108,301,2
"ATPF1G","SRR7910035.19407980",96.97,99,3,0,93,191,3,299,1.13e-65,207,"ATPF1G","R1",93,191,3,299
"ATPF1G","SRR7910035.20346588",99,100,1,0,23,122,2,301,1.29e-65,206,"ATPF1G","R1",23,122,301,2
"ATPF1G","SRR7910035.2774173",99,100,1,0,23,122,1,300,1.29e-65,206,"ATPF1G","R1",23,122,1,300
"ATPF1G","SRR7910035.17607719",98.99,99,1,0,129,227,3,299,1.39e-65,206,"ATPF1G","R1",129,227,3,299
"ATPF1G","SRR7910035.1526449",98.99,99,1,0,35,133,3,299,1.39e-65,206,"ATPF1G","R1",35,133,299,3
"ATPF1G","SRR7910035.17121808",97.98,99,2,0,46,144,2,298,1.46e-65,206,"ATPF1G","R1",46,144,298,2
"ATPF1G","SRR7910035.2661234",96.97,99,3,0,103,201,3,299,1.46e-65,206,"ATPF1G","R1",103,201,299,3
"ATPF1G","SRR7910035.11716605",100,100,0,0,16,115,2,301,1.51e-65,206,"ATPF1G","R1",16,115,301,2
"ATPF1G","SRR7910035.1847143",97.98,99,2,0,109,207,3,299,1.51e-65,206,"ATPF1G","R1",109,207,3,299
"ATPF1G","SRR7910035.27770068",97.98,99,2,0,111,209,2,298,1.62e-65,206,"ATPF1G","R1",111,209,2,298
"ATPF1G","SRR7910035.11814785",97.98,99,2,0,111,209,2,298,1.62e-65,206,"ATPF1G","R1",111,209,2,298
"ATPF1G","SRR7910035.25844224",97.98,99,2,0,118,216,3,299,1.65e-65,206,"ATPF1G","R1",118,216,299,3
"ATPF1G","SRR7910035.15112387",97.98,99,2,0,118,216,3,299,1.65e-65,206,"ATPF1G","R1",118,216,3,299
"ATPF1G","SRR7910035.26857056",98,100,2,0,35,134,2,301,1.67e-65,206,"ATPF1G","R1",35,134,301,2
