"gene","mate","read_id","pair_id","n_hsps","qstart_union","qend_union","aa_covered_by_read","sstart_union","send_union","best_pident","best_evalue","best_bitscore"
"POLIB","R2","SRR7910035.10049328","SRR7910035.10049328",1,"155","253",99,"2","298",98.99,3.21e-59,204
"ATPF1A","R1","SRR7910035.1005293","SRR7910035.1005293",1,"90","189",100,"2","301",100,1.05e-60,202
"ATPF1A","R2","SRR7910035.1005293","SRR7910035.1005293",1,"238","337",100,"1","300",86,1.08e-51,178
"ATPF1A","R1","SRR7910035.10055551","SRR7910035.10055551",1,"539","584",46,"161","298",100,2.47e-23,101
"ATPF1A","R2","SRR7910035.10055551","SRR7910035.10055551",1,"435","533",99,"3","299",94.949,2.34e-59,198
"ATPF1G","R1","SRR7910035.10055655","SRR7910035.10055655",1,"141","239",99,"3","299",98.99,7.79e-64,202
"ATPF1G","R2","SRR7910035.10055655","SRR7910035.10055655",1,"264","305",42,"165","290",85.714,3.57e-14,73.6
"ATPF1A","R1","SRR7910035.10057380","SRR7910035.10057380",1,"540","584",45,"166","300",100,3.61e-22,98.2
"ATPF1A","R2","SRR7910035.10057380","SRR7910035.10057380",1,"511","584",74,"2","223",100,3.15e-44,158
"TAC102","R2","SRR7910035.1006171","SRR7910035.1006171",1,"733","830",98,"4","297",65.306,3.16e-17,84.7
"ATPF1B","R1","SRR7910035.10073906","SRR7910035.10073906",1,"77","172",96,"1","288",89.583,2.29e-50,173
"ATPF1B","R2","SRR7910035.10073906","SRR7910035.10073906",1,"200","299",100,"2","301",50,1.77e-17,84.3
"ATPF1G","R1","SRR7910035.10074550","SRR7910035.10074550",1,"81","180",100,"1","300",99,2.69e-67,211
"ATPF1G","R2","SRR7910035.10074550","SRR7910035.10074550",1,"150","248",99,"3","299",97.98,1.85e-62,199
"TAC102","R1","SRR7910035.10079247","SRR7910035.10079247",1,"99","197",99,"2","298",100,5.03e-51,181
"TAC102","R2","SRR7910035.10079247","SRR7910035.10079247",1,"22","121",100,"2","301",95,5.77e-57,197
"POLIB","R1","SRR7910035.10079498","SRR7910035.10079498",1,"8","107",100,"2","301",99,5.18e-60,207
"ATPF1G","R1","SRR7910035.10081896","SRR7910035.10081896",1,"66","165",100,"2","301",97,1.77e-64,204
"ATPF1G","R2","SRR7910035.10081896","SRR7910035.10081896",1,"112","211",100,"1","300",93,3.61e-60,192
"ATPF1A","R1","SRR7910035.10082461","SRR7910035.10082461",1,"545","584",40,"181","300",100,3.12e-18,86.7
"ATPF1A","R2","SRR7910035.10082461","SRR7910035.10082461",1,"493","584",92,"3","278",100,3.2e-58,196
"POLIB","R1","SRR7910035.1008508","SRR7910035.1008508",1,"509","607",99,"3","299",100,2.44e-61,211
"POLIB","R2","SRR7910035.1008508","SRR7910035.1008508",1,"551","650",100,"1","300",92,1.41e-52,186
"ATPF1A","R1","SRR7910035.10087049","SRR7910035.10087049",1,"257","355",99,"3","299",97.98,2.29e-60,201
"ATPF1A","R2","SRR7910035.10087049","SRR7910035.10087049",1,"153","249",97,"2","292",95.876,5.12e-55,187
"ATPF1A","R1","SRR7910035.10087842","SRR7910035.10087842",1,"378","477",100,"2","301",100,2.59e-60,201
"ATPF1A","R2","SRR7910035.10087842","SRR7910035.10087842",1,"502","584",83,"49","297",96.386,1.78e-48,170
"POLIB","R1","SRR7910035.10087923","SRR7910035.10087923",1,"1263","1360",98,"3","296",95.918,1.18e-57,200
"POLIB","R2","SRR7910035.10087923","SRR7910035.10087923",1,"1334","1404",71,"87","299",84.507,4.8e-28,115
"ATPF1G","R2","SRR7910035.10088760","SRR7910035.10088760",1,"9","107",99,"2","298",72.727,7.65e-39,138
"ATPF1A","R1","SRR7910035.10089225","SRR7910035.10089225",1,"204","302",99,"2","298",100,4.17e-61,203
"ATPF1A","R2","SRR7910035.10089225","SRR7910035.10089225",1,"123","222",100,"1","300",98,2.12e-58,196
"POLIB","R1","SRR7910035.10089370","SRR7910035.10089370",1,"850","949",100,"1","300",99,1.09e-57,200
"POLIB","R2","SRR7910035.10089370","SRR7910035.10089370",1,"767","866",100,"2","301",72,1.29e-34,134
"ATOM40","R1","SRR7910035.1008949","SRR7910035.1008949",1,"243","342",100,"2","301",99,4.74e-65,207
"ATOM40","R2","SRR7910035.1008949","SRR7910035.1008949",1,"139","235",97,"1","291",85.567,3.28e-50,169
"ATPF1A","R1","SRR7910035.10091508","SRR7910035.10091508",1,"271","370",100,"2","301",98,1.08e-61,204
"ATPF1A","R2","SRR7910035.10091508","SRR7910035.10091508",1,"188","285",98,"3","296",87.755,1.19e-49,173
"POLIB","R1","SRR7910035.1009418","SRR7910035.1009418",1,"495","567",73,"68","289",50,1.64e-14,77.4
"ATPF1B","R1","SRR7910035.1009594","SRR7910035.1009594",1,"300","399",100,"1","300",99,2.35e-61,202
"ATPF1B","R2","SRR7910035.1009594","SRR7910035.1009594",1,"357","455",99,"3","299",95.96,2.58e-57,192
"POLIB","R1","SRR7910035.10096063","SRR7910035.10096063",1,"660","759",100,"2","301",99,7.78e-62,212
"POLIB","R2","SRR7910035.10096063","SRR7910035.10096063",1,"744","820",77,"1","231",93.506,3.37e-40,150
"ATPF1A","R2","SRR7910035.10096871","SRR7910035.10096871",1,"539","584",46,"3","140",100,2.47e-23,101
"POLIB","R1","SRR7910035.10097672","SRR7910035.10097672",1,"710","809",100,"1","300",98,1.69e-59,205
"POLIB","R2","SRR7910035.10097672","SRR7910035.10097672",1,"791","890",100,"1","300",99,2.88e-59,205
"POLIB","R1","SRR7910035.10104237","SRR7910035.10104237",1,"899","998",100,"1","300",100,9.54e-60,206
"POLIB","R2","SRR7910035.10104237","SRR7910035.10104237",1,"976","1073",98,"5","298",100,5.06e-59,204
"POLIB","R1","SRR7910035.10107431","SRR7910035.10107431",1,"1","71",71,"87","299",100,1.02e-40,152
"POLIB","R2","SRR7910035.10107431","SRR7910035.10107431",1,"95","193",99,"3","299",97.98,2.49e-57,199
"ATPF1A","R1","SRR7910035.10110188","SRR7910035.10110188",1,"1","66",66,"102","299",98.485,9.68e-12,68.2
"ATPF1A","R2","SRR7910035.10110188","SRR7910035.10110188",1,"42","120",79,"1","237",100,1.52e-46,164
"ATPF1B","R1","SRR7910035.10110340","SRR7910035.10110340",1,"1","74",74,"78","299",98.649,4.15e-39,144
"ATPF1B","R2","SRR7910035.10110340","SRR7910035.10110340",1,"24","122",99,"1","297",100,1.1e-60,200
"TAC102","R2","SRR7910035.10112190","SRR7910035.10112190",1,"838","934",97,"3","293",96.907,9.05e-59,202
"ATPF1A","R1","SRR7910035.1011644","SRR7910035.1011644",1,"359","458",100,"1","300",100,8.04e-60,200
"ATPF1A","R2","SRR7910035.1011644","SRR7910035.1011644",1,"423","522",100,"1","300",98,1.48e-61,204
"TAC102","R1","SRR7910035.10118693","SRR7910035.10118693",1,"156","254",99,"3","299",98.99,1.32e-48,174
"TAC102","R2","SRR7910035.10118693","SRR7910035.10118693",1,"203","302",100,"2","301",96,9.61e-58,199
"ATPF1A","R1","SRR7910035.10119153","SRR7910035.10119153",1,"392","490",99,"3","299",85.859,7.84e-47,165
"ATPF1A","R2","SRR7910035.10119153","SRR7910035.10119153",1,"205","301",97,"1","291",74.227,2.4e-38,142
"ATPF1A","R1","SRR7910035.1012028","SRR7910035.1012028",1,"109","208",100,"2","301",96,4.88e-58,195
"ATPF1A","R2","SRR7910035.1012028","SRR7910035.1012028",1,"77","176",100,"1","300",98,1.68e-58,196
"ATPF1A","R1","SRR7910035.10121585","SRR7910035.10121585",1,"51","149",99,"2","298",97.98,6.71e-59,197
"POLIB","R1","SRR7910035.10121608","SRR7910035.10121608",1,"1105","1201",97,"2","298",46.465,5.14e-20,93.2
"POLIB","R1","SRR7910035.10123334","SRR7910035.10123334",1,"1051","1150",100,"1","300",100,1.51e-51,182
"POLIB","R2","SRR7910035.10123334","SRR7910035.10123334",1,"1105","1203",99,"3","299",98.99,6.57e-59,204
"ATPF1A","R1","SRR7910035.10124523","SRR7910035.10124523",1,"467","566",100,"1","300",100,4.64e-65,213
"ATPF1A","R2","SRR7910035.10124523","SRR7910035.10124523",1,"455","553",99,"3","299",100,4.13e-64,211
"ATPF1A","R1","SRR7910035.10126805","SRR7910035.10126805",1,"214","313",100,"2","301",99,1.75e-61,204
"ATPF1A","R2","SRR7910035.10126805","SRR7910035.10126805",1,"255","352",98,"3","296",93.878,3.4e-49,172
"ATOM40","R1","SRR7910035.10129065","SRR7910035.10129065",1,"179","278",100,"1","300",100,3.21e-67,212
"ATOM40","R2","SRR7910035.10129065","SRR7910035.10129065",1,"230","318",89,"3","269",66.292,2.06e-19,88.6
"POLIB","R1","SRR7910035.10129479","SRR7910035.10129479",1,"605","703",99,"3","299",100,3.31e-60,207
"POLIB","R2","SRR7910035.10129479","SRR7910035.10129479",1,"677","776",100,"1","300",98,4.96e-59,204
"TAC102","R1","SRR7910035.10130509","SRR7910035.10130509",1,"193","291",99,"2","298",98.99,1.14e-58,202
"TAC102","R2","SRR7910035.10130509","SRR7910035.10130509",1,"236","334",99,"3","299",97.98,1.94e-59,204
"ATPF1A","R1","SRR7910035.10136258","SRR7910035.10136258",1,"374","473",100,"1","300",92,2.9e-54,185
"ATPF1A","R2","SRR7910035.10136258","SRR7910035.10136258",1,"456","551",96,"3","290",54.167,6.27e-21,94.4
"ATPF1G","R1","SRR7910035.10137866","SRR7910035.10137866",1,"1","58",58,"126","299",100,7.51e-32,120
"ATPF1G","R2","SRR7910035.10137866","SRR7910035.10137866",1,"53","151",99,"2","298",94.949,1.3e-62,199
"ATPF1B","R2","SRR7910035.10138594","SRR7910035.10138594",1,"1","42",42,"3","128",97.619,4.11e-17,83.6
"ATPF1A","R1","SRR7910035.10141936","SRR7910035.10141936",1,"551","584",34,"199","300",100,7.46e-14,74.3
"ATPF1A","R2","SRR7910035.10141936","SRR7910035.10141936",1,"453","552",100,"2","301",100,8.06e-65,213
"ATPF1G","R1","SRR7910035.10144007","SRR7910035.10144007",1,"1","57",57,"129","299",92.982,1.53e-27,109
"ATPF1G","R2","SRR7910035.10144007","SRR7910035.10144007",1,"98","194",97,"2","292",83.505,1.36e-51,171
"POLIB","R1","SRR7910035.10145910","SRR7910035.10145910",1,"819","917",99,"2","298",100,1.67e-57,200
"POLIB","R2","SRR7910035.10145910","SRR7910035.10145910",1,"683","781",99,"2","298",94.949,4.47e-58,201
"ATPF1B","R1","SRR7910035.10146522","SRR7910035.10146522",1,"220","318",99,"3","299",98.99,2.94e-62,204
"ATPF1B","R2","SRR7910035.10146522","SRR7910035.10146522",1,"335","434",100,"1","300",89,4.02e-52,178
"POLIB","R1","SRR7910035.1014959","SRR7910035.1014959",1,"631","724",94,"3","284",77.66,5.7e-41,152
"POLIB","R2","SRR7910035.1014959","SRR7910035.1014959",1,"645","744",100,"1","300",93,2.24e-57,199
"POLIB","R1","SRR7910035.1015116","SRR7910035.1015116",1,"341","440",100,"1","300",99,2.84e-60,207
"POLIB","R2","SRR7910035.1015116","SRR7910035.1015116",1,"194","291",98,"2","295",92.857,1.61e-53,188
"TAC102","R1","SRR7910035.10151607","SRR7910035.10151607",1,"169","268",100,"1","300",99,2.73e-50,178
"TAC102","R2","SRR7910035.10151607","SRR7910035.10151607",1,"147","217",71,"85","297",74.648,2.37e-15,79.3
"ATPF1A","R1","SRR7910035.10153825","SRR7910035.10153825",1,"358","457",100,"2","301",100,2.65e-59,198
"ATPF1A","R2","SRR7910035.10153825","SRR7910035.10153825",1,"305","404",100,"2","301",83,5.34e-47,166
"ATPF1A","R2","SRR7910035.10155583","SRR7910035.10155583",1,"535","584",50,"1","150",100,4.31e-26,108
"ATPF1A","R1","SRR7910035.10156511","SRR7910035.10156511",1,"435","530",96,"3","290",97.917,1.13e-58,197
"ATPF1A","R2","SRR7910035.10156511","SRR7910035.10156511",1,"310","408",99,"3","299",93.939,5.75e-55,187
"POLIB","R1","SRR7910035.10159893","SRR7910035.10159893",1,"330","429",100,"2","301",94,2.88e-55,193
"POLIB","R2","SRR7910035.10159893","SRR7910035.10159893",1,"440","537",98,"3","296",88.776,1.24e-53,189
"TAC102","R1","SRR7910035.10160182","SRR7910035.10160182",1,"45","144",100,"1","300",99,1.28e-59,204
"TAC102","R2","SRR7910035.10160182","SRR7910035.10160182",1,"205","303",99,"2","298",97.98,2.35e-58,201
"POLIB","R1","SRR7910035.10160955","SRR7910035.10160955",1,"432","531",100,"2","301",100,3.05e-63,216
"POLIB","R2","SRR7910035.10160955","SRR7910035.10160955",1,"543","641",99,"2","298",95.96,1.06e-55,194
"TAC102","R1","SRR7910035.10161806","SRR7910035.10161806",1,"353","434",82,"3","248",100,3.97e-46,166
"TAC102","R2","SRR7910035.10161806","SRR7910035.10161806",1,"354","434",81,"2","244",97.531,2.62e-44,161
"ATPF1A","R1","SRR7910035.10162443","SRR7910035.10162443",1,"223","322",100,"1","300",100,1.14e-62,207
"ATPF1A","R2","SRR7910035.10162443","SRR7910035.10162443",1,"144","243",100,"1","300",99,9.61e-59,197
"TAC102","R1","SRR7910035.10163299","SRR7910035.10163299",1,"262","360",99,"3","299",98.99,9.37e-60,205
"TAC102","R2","SRR7910035.10163299","SRR7910035.10163299",1,"204","302",99,"3","299",100,1.28e-60,207
"ATOM40","R1","SRR7910035.10163710","SRR7910035.10163710",1,"239","338",100,"1","300",100,3.73e-65,207
"ATOM40","R2","SRR7910035.10163710","SRR7910035.10163710",1,"155","252",98,"3","296",92.857,4.88e-59,191
"POLIB","R1","SRR7910035.10165518","SRR7910035.10165518",1,"287","382",96,"3","290",100,2e-59,205
"POLIB","R2","SRR7910035.10165518","SRR7910035.10165518",1,"287","382",96,"3","290",100,2e-59,205
"ATPF1A","R2","SRR7910035.10166678","SRR7910035.10166678",1,"436","535",100,"2","301",90,2.5e-54,185
"POLIB","R2","SRR7910035.10170047","SRR7910035.10170047",1,"516","605",90,"6","296",36.082,5.17e-11,67.4
"ATPF1B","R1","SRR7910035.10171100","SRR7910035.10171100",1,"1","43",43,"172","300",97.674,1.19e-17,85.1
"ATPF1B","R2","SRR7910035.10171100","SRR7910035.10171100",1,"96","195",100,"1","300",88,1.28e-38,142
"POLIB","R1","SRR7910035.10171331","SRR7910035.10171331",1,"29","128",100,"2","301",99,5.28e-60,207
"POLIB","R2","SRR7910035.10171331","SRR7910035.10171331",1,"272","371",100,"1","300",84,1.05e-49,177
"POLIB","R1","SRR7910035.1017159","SRR7910035.1017159",1,"1","65",65,"2","196",100,2.77e-36,139
"ATPF1A","R1","SRR7910035.10173365","SRR7910035.10173365",1,"336","434",99,"3","299",98.99,3.41e-58,196
"ATPF1A","R2","SRR7910035.10173365","SRR7910035.10173365",1,"422","520",99,"2","298",80.808,2.38e-46,164
"ATOM40","R1","SRR7910035.10176001","SRR7910035.10176001",1,"9","96",88,"1","264",100,1e-44,154
"ATOM40","R2","SRR7910035.10176001","SRR7910035.10176001",1,"9","97",89,"2","268",100,1.78e-45,156
"ATPF1A","R1","SRR7910035.10176809","SRR7910035.10176809",1,"322","420",99,"2","298",100,1.31e-60,202
"ATPF1A","R2","SRR7910035.10176809","SRR7910035.10176809",1,"400","497",98,"3","296",92.857,3.59e-55,187
"ATPF1A","R1","SRR7910035.10177527","SRR7910035.10177527",1,"1","89",89,"33","299",98.876,7.32e-28,114
"ATPF1A","R2","SRR7910035.10177527","SRR7910035.10177527",1,"42","117",76,"2","229",98.684,3.53e-43,155
"ATPF1G","R1","SRR7910035.10183004","SRR7910035.10183004",1,"144","243",100,"1","300",99,3.67e-64,203
"ATPF1G","R2","SRR7910035.10183004","SRR7910035.10183004",1,"197","296",100,"1","300",94,4.55e-58,187
"POLIB","R1","SRR7910035.10183320","SRR7910035.10183320",1,"1","54",54,"2","163",100,8.43e-28,115
"ATOM40","R2","SRR7910035.10184505","SRR7910035.10184505",1,"1","72",72,"31","246",98.611,4.8e-41,145
"POLIB","R1","SRR7910035.1018463","SRR7910035.1018463",1,"591","690",100,"2","301",100,3.25e-60,207
"POLIB","R2","SRR7910035.1018463","SRR7910035.1018463",1,"615","714",100,"2","301",100,4.18e-62,213
"ATPF1A","R1","SRR7910035.10185816","SRR7910035.10185816",1,"420","518",99,"3","299",100,2.92e-62,206
"ATPF1A","R2","SRR7910035.10185816","SRR7910035.10185816",1,"371","469",99,"1","297",88.889,3.89e-48,169
"POLIB","R1","SRR7910035.10191498","SRR7910035.10191498",1,"1040","1138",99,"2","298",96.97,1.31e-47,171
"POLIB","R2","SRR7910035.10191498","SRR7910035.10191498",1,"1141","1239",99,"3","299",94.949,2.29e-56,196
"ATOM40","R1","SRR7910035.1019414","SRR7910035.1019414",1,"1","91",91,"2","274",100,2.52e-47,161
"ATPF1A","R1","SRR7910035.10194324","SRR7910035.10194324",1,"255","354",100,"1","300",96,5.47e-58,195
"ATPF1A","R2","SRR7910035.10194324","SRR7910035.10194324",1,"461","550",90,"1","270",86.667,1.43e-45,162
"ATPF1G","R1","SRR7910035.1019711","SRR7910035.1019711",1,"18","117",100,"1","300",100,2.44e-65,206
"ATPF1G","R2","SRR7910035.1019711","SRR7910035.1019711",1,"105","204",100,"2","301",96,2.54e-64,203
"POLIB","R2","SRR7910035.10202328","SRR7910035.10202328",1,"1086","1167",82,"57","296",48.193,4.34e-14,76.3
"ATPF1G","R1","SRR7910035.10202573","SRR7910035.10202573",1,"260","305",46,"1","138",100,1.68e-22,95.9
"ATPF1A","R1","SRR7910035.1020474","SRR7910035.1020474",1,"404","502",99,"3","299",100,1.08e-60,202
"ATPF1A","R2","SRR7910035.1020474","SRR7910035.1020474",1,"387","483",97,"6","296",97.938,2.5e-57,193
"ATPF1A","R1","SRR7910035.10205240","SRR7910035.10205240",1,"343","442",100,"1","300",99,3.63e-58,195
"ATPF1A","R2","SRR7910035.10205240","SRR7910035.10205240",1,"315","412",98,"1","294",90.816,1.13e-50,176
"ATOM40","R1","SRR7910035.1020679","SRR7910035.1020679",1,"1","62",62,"1","186",100,1.19e-33,126
"TAC102","R1","SRR7910035.1020915","SRR7910035.1020915",1,"133","231",99,"1","297",100,1.41e-50,179
"TAC102","R2","SRR7910035.1020915","SRR7910035.1020915",1,"9","107",99,"2","298",93.939,6.14e-53,186
"ATOM40","R1","SRR7910035.10211716","SRR7910035.10211716",1,"177","275",99,"3","299",100,1.16e-66,211
"ATOM40","R2","SRR7910035.10211716","SRR7910035.10211716",1,"247","345",99,"3","299",95.96,3.45e-61,197
"ATPF1A","R1","SRR7910035.10212362","SRR7910035.10212362",1,"305","404",100,"2","301",100,5.76e-62,205
"ATPF1A","R2","SRR7910035.10212362","SRR7910035.10212362",1,"389","487",99,"2","298",89.899,5.95e-52,179
"POLIB","R2","SRR7910035.10218565","SRR7910035.10218565",1,"1286","1358",73,"2","220",38.356,3.21e-11,68.2
"ATPF1A","R1","SRR7910035.10224598","SRR7910035.10224598",1,"388","486",99,"2","298",100,9.01e-61,202
"ATPF1A","R2","SRR7910035.10224598","SRR7910035.10224598",1,"479","576",98,"3","296",94.898,3.76e-59,198
"ATOM40","R1","SRR7910035.10225679","SRR7910035.10225679",1,"311","351",41,"3","125",100,2.07e-21,94
"ATPF1A","R2","SRR7910035.10226241","SRR7910035.10226241",1,"465","563",99,"1","297",95.96,3.41e-61,203
"POLIB","R1","SRR7910035.10226571","SRR7910035.10226571",1,"464","553",90,"1","279",40.86,4.11e-13,73.6
"ATPF1B","R1","SRR7910035.10226996","SRR7910035.10226996",1,"63","162",100,"2","301",98,1.49e-60,200
"ATPF1B","R2","SRR7910035.10226996","SRR7910035.10226996",1,"1","56",56,"132","299",80.357,1.29e-19,90.5
"ATPF1A","R1","SRR7910035.10227853","SRR7910035.10227853",1,"175","273",99,"3","299",100,1.77e-59,199
"ATPF1A","R2","SRR7910035.10227853","SRR7910035.10227853",1,"114","213",100,"1","300",98,1.74e-59,199
"POLIB","R1","SRR7910035.1022827","SRR7910035.1022827",1,"289","388",100,"2","301",98,2.04e-60,208
"POLIB","R2","SRR7910035.1022827","SRR7910035.1022827",1,"232","330",99,"3","299",94.949,1.38e-55,194
"ATPF1A","R1","SRR7910035.10229760","SRR7910035.10229760",1,"60","158",99,"3","299",100,8.65e-60,199
"ATPF1A","R2","SRR7910035.10229760","SRR7910035.10229760",1,"108","206",99,"2","298",95.96,1.39e-56,191
"POLIB","R1","SRR7910035.10231548","SRR7910035.10231548",1,"30","128",99,"2","298",100,5.26e-60,207
"POLIB","R2","SRR7910035.10231548","SRR7910035.10231548",1,"19","118",100,"1","300",100,9.58e-61,209
"TAC102","R1","SRR7910035.1023244","SRR7910035.1023244",1,"430","529",100,"1","300",100,3.18e-60,206
"TAC102","R2","SRR7910035.1023244","SRR7910035.1023244",1,"353","451",99,"2","298",100,6.64e-59,202
"TAC102","R1","SRR7910035.10233065","SRR7910035.10233065",1,"440","538",99,"2","298",100,1.31e-58,202
"TAC102","R2","SRR7910035.10233065","SRR7910035.10233065",1,"449","547",99,"2","298",82.828,3.04e-46,167
"ATPF1B","R1","SRR7910035.10234624","SRR7910035.10234624",1,"225","318",94,"8","289",59.574,4.69e-24,102
"ATPF1B","R2","SRR7910035.10234624","SRR7910035.10234624",1,"225","318",94,"2","283",81.915,1.05e-43,155
"ATPF1A","R1","SRR7910035.10235145","SRR7910035.10235145",1,"206","305",100,"1","300",100,9.82e-63,207
"ATPF1A","R2","SRR7910035.10235145","SRR7910035.10235145",1,"165","263",99,"3","299",95.96,1.13e-55,189
"POLIB","R1","SRR7910035.10238171","SRR7910035.10238171",1,"1263","1349",87,"7","273",43.82,2.01e-18,88.6
"POLIB","R2","SRR7910035.10238171","SRR7910035.10238171",1,"1263","1326",64,"102","299",50,5.53e-14,75.9
"POLIB","R1","SRR7910035.10239163","SRR7910035.10239163",1,"921","1020",100,"2","301",100,1.35e-60,209
"POLIB","R2","SRR7910035.10239163","SRR7910035.10239163",1,"868","966",99,"3","299",100,1.51e-57,200
"ATPF1A","R1","SRR7910035.10240918","SRR7910035.10240918",1,"269","368",100,"2","301",98,4.15e-62,206
"ATPF1A","R2","SRR7910035.10240918","SRR7910035.10240918",1,"154","252",99,"3","299",92.929,2.77e-52,180
"POLIB","R1","SRR7910035.1024206","SRR7910035.1024206",1,"734","833",100,"2","301",100,7.06e-60,206
"POLIB","R2","SRR7910035.1024206","SRR7910035.1024206",1,"781","880",100,"1","300",94,4.82e-55,192
"POLIB","R1","SRR7910035.10242160","SRR7910035.10242160",1,"1361","1404",44,"169","300",100,4.01e-18,87.8
