"qseqid","sseqid","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore","gene","mate","qstart_raw","qend_raw","sstart_raw","send_raw","q_span_aa","s_span_nt","expected_nt_span","span_matches_3x"
"TAC102","SRR7910035.2774596",100,99,0,0,836,934,3,299,2.89e-62,212,"TAC102","R1",836,934,299,3,99,297,297,TRUE
"TAC102","SRR7910035.27341245",100,99,0,0,833,931,3,299,2.92e-62,212,"TAC102","R1",833,931,299,3,99,297,297,TRUE
"TAC102","SRR7910035.16505288",100,99,0,0,833,931,3,299,2.92e-62,212,"TAC102","R1",833,931,3,299,99,297,297,TRUE
"TAC102","SRR7910035.28112104",100,99,0,0,824,922,3,299,3.23e-62,212,"TAC102","R1",824,922,299,3,99,297,297,TRUE
"TAC102","SRR7910035.20868247",100,99,0,0,824,922,3,299,3.23e-62,212,"TAC102","R1",824,922,299,3,99,297,297,TRUE
"TAC102","SRR7910035.4925746",100,100,0,0,814,913,2,301,3.98e-62,211,"TAC102","R1",814,913,301,2,100,300,300,TRUE
"TAC102","SRR7910035.19865064",99,100,1,0,822,921,1,300,4.63e-62,211,"TAC102","R1",822,921,300,1,100,300,300,TRUE
"TAC102","SRR7910035.24781886",100,100,0,0,813,912,2,301,4.73e-62,211,"TAC102","R1",813,912,301,2,100,300,300,TRUE
"TAC102","SRR7910035.16979072",100,100,0,0,813,912,1,300,4.73e-62,211,"TAC102","R1",813,912,1,300,100,300,300,TRUE
"TAC102","SRR7910035.8769447",100,100,0,0,409,508,2,301,6.13e-62,211,"TAC102","R1",409,508,2,301,100,300,300,TRUE
"TAC102","SRR7910035.16836272",100,100,0,0,812,911,1,300,6.32e-62,211,"TAC102","R1",812,911,300,1,100,300,300,TRUE
"TAC102","SRR7910035.25779626",100,99,0,0,823,921,3,299,6.99e-62,211,"TAC102","R1",823,921,299,3,99,297,297,TRUE
"TAC102","SRR7910035.4936808",100,98,0,0,837,934,6,299,8.63e-62,211,"TAC102","R1",837,934,299,6,98,294,294,TRUE
"TAC102","SRR7910035.10834787",100,99,0,0,819,917,3,299,9.64e-62,210,"TAC102","R1",819,917,3,299,99,297,297,TRUE
"TAC102","SRR7910035.13968383",100,100,0,0,414,513,1,300,9.73e-62,210,"TAC102","R1",414,513,1,300,100,300,300,TRUE
"TAC102","SRR7910035.5861048",100,99,0,0,818,916,3,299,1.47e-61,210,"TAC102","R1",818,916,3,299,99,297,297,TRUE
"TAC102","SRR7910035.26829738",98,100,2,0,823,922,2,301,1.51e-61,210,"TAC102","R1",823,922,2,301,100,300,300,TRUE
"TAC102","SRR7910035.10749793",100,100,0,0,407,506,2,301,1.94e-61,209,"TAC102","R1",407,506,2,301,100,300,300,TRUE
"TAC102","SRR7910035.3303096",100,100,0,0,809,908,1,300,2.07e-61,209,"TAC102","R1",809,908,300,1,100,300,300,TRUE
"TAC102","SRR7910035.4595306",98.99,99,1,0,831,929,3,299,2.12e-61,209,"TAC102","R1",831,929,299,3,99,297,297,TRUE
"TAC102","SRR7910035.5918483",100,100,0,0,808,907,2,301,2.22e-61,209,"TAC102","R1",808,907,301,2,100,300,300,TRUE
"TAC102","SRR7910035.25320361",98.99,99,1,0,822,920,3,299,2.45e-61,209,"TAC102","R1",822,920,299,3,99,297,297,TRUE
"TAC102","SRR7910035.24859523",100,100,0,0,405,504,1,300,2.85e-61,209,"TAC102","R1",405,504,1,300,100,300,300,TRUE
"TAC102","SRR7910035.24120482",100,100,0,0,405,504,1,300,2.85e-61,209,"TAC102","R1",405,504,1,300,100,300,300,TRUE
"TAC102","SRR7910035.22283367",99,100,1,0,264,363,1,300,2.88e-61,209,"TAC102","R1",264,363,1,300,100,300,300,TRUE
"TAC102","SRR7910035.18241028",99,100,1,0,264,363,1,300,2.88e-61,209,"TAC102","R1",264,363,1,300,100,300,300,TRUE
"TAC102","SRR7910035.15065062",99,100,1,0,264,363,2,301,2.88e-61,209,"TAC102","R1",264,363,301,2,100,300,300,TRUE
"TAC102","SRR7910035.8537722",99,100,1,0,264,363,1,300,2.88e-61,209,"TAC102","R1",264,363,300,1,100,300,300,TRUE
"TAC102","SRR7910035.14714326",100,99,0,0,813,911,2,298,3.27e-61,209,"TAC102","R1",813,911,2,298,99,297,297,TRUE
"TAC102","SRR7910035.21930581",100,100,0,0,415,514,2,301,3.28e-61,209,"TAC102","R1",415,514,2,301,100,300,300,TRUE
"TAC102","SRR7910035.17894300",100,100,0,0,415,514,1,300,3.28e-61,209,"TAC102","R1",415,514,1,300,100,300,300,TRUE
"TAC102","SRR7910035.26492395",98.99,99,1,0,823,921,3,299,3.34e-61,209,"TAC102","R1",823,921,3,299,99,297,297,TRUE
"TAC102","SRR7910035.4384499",100,100,0,0,54,153,1,300,3.51e-61,209,"TAC102","R1",54,153,300,1,100,300,300,TRUE
"TAC102","SRR7910035.23395600",100,99,0,0,410,508,3,299,3.58e-61,209,"TAC102","R1",410,508,3,299,99,297,297,TRUE
"TAC102","SRR7910035.22790707",99,100,1,0,818,917,2,301,3.66e-61,209,"TAC102","R1",818,917,2,301,100,300,300,TRUE
"TAC102","SRR7910035.25090191",100,99,0,0,410,508,3,299,3.69e-61,209,"TAC102","R1",410,508,299,3,99,297,297,TRUE
"TAC102","SRR7910035.23455844",100,97,0,0,838,934,10,300,3.85e-61,209,"TAC102","R1",838,934,300,10,97,291,291,TRUE
"TAC102","SRR7910035.2214095",100,100,0,0,51,150,2,301,3.92e-61,209,"TAC102","R1",51,150,2,301,100,300,300,TRUE
"TAC102","SRR7910035.15413275",100,100,0,0,48,147,1,300,4.08e-61,209,"TAC102","R1",48,147,300,1,100,300,300,TRUE
"TAC102","SRR7910035.3795237",100,99,0,0,412,510,3,299,4.17e-61,209,"TAC102","R1",412,510,3,299,99,297,297,TRUE
"TAC102","SRR7910035.23727224",100,97,0,0,838,934,3,293,4.51e-61,208,"TAC102","R1",838,934,3,293,97,291,291,TRUE
"TAC102","SRR7910035.3374409",100,99,0,0,414,512,3,299,4.51e-61,208,"TAC102","R1",414,512,3,299,99,297,297,TRUE
"TAC102","SRR7910035.143117",100,99,0,0,414,512,3,299,4.51e-61,208,"TAC102","R1",414,512,3,299,99,297,297,TRUE
"TAC102","SRR7910035.19396426",99,100,1,0,408,507,1,300,4.56e-61,208,"TAC102","R1",408,507,300,1,100,300,300,TRUE
"TAC102","SRR7910035.7160933",99,100,1,0,251,350,2,301,4.79e-61,208,"TAC102","R1",251,350,301,2,100,300,300,TRUE
"TAC102","SRR7910035.22767256",100,100,0,0,52,151,2,301,4.94e-61,208,"TAC102","R1",52,151,301,2,100,300,300,TRUE
"TAC102","SRR7910035.6796755",100,100,0,0,421,520,1,300,5.14e-61,208,"TAC102","R1",421,520,300,1,100,300,300,TRUE
"TAC102","SRR7910035.10431100",100,100,0,0,404,503,2,301,5.19e-61,208,"TAC102","R1",404,503,2,301,100,300,300,TRUE
"TAC102","SRR7910035.7919249",100,100,0,0,404,503,2,301,5.19e-61,208,"TAC102","R1",404,503,2,301,100,300,300,TRUE
"TAC102","SRR7910035.5823030",100,100,0,0,404,503,2,301,5.19e-61,208,"TAC102","R1",404,503,2,301,100,300,300,TRUE
"TAC102","SRR7910035.5086324",100,100,0,0,404,503,2,301,5.19e-61,208,"TAC102","R1",404,503,2,301,100,300,300,TRUE
"TAC102","SRR7910035.19804666",99,100,1,0,250,349,1,300,5.25e-61,208,"TAC102","R1",250,349,300,1,100,300,300,TRUE
"TAC102","SRR7910035.14705590",100,99,0,0,206,304,3,299,5.35e-61,208,"TAC102","R1",206,304,3,299,99,297,297,TRUE
"TAC102","SRR7910035.11486789",100,100,0,0,44,143,2,301,5.92e-61,208,"TAC102","R1",44,143,301,2,100,300,300,TRUE
"TAC102","SRR7910035.4017648",100,100,0,0,44,143,1,300,5.92e-61,208,"TAC102","R1",44,143,300,1,100,300,300,TRUE
"TAC102","SRR7910035.19169447",100,100,0,0,43,142,2,301,5.98e-61,208,"TAC102","R1",43,142,2,301,100,300,300,TRUE
"TAC102","SRR7910035.6157159",100,100,0,0,416,515,2,301,5.98e-61,208,"TAC102","R1",416,515,301,2,100,300,300,TRUE
"TAC102","SRR7910035.23799023",100,100,0,0,55,154,1,300,6.35e-61,208,"TAC102","R1",55,154,300,1,100,300,300,TRUE
"TAC102","SRR7910035.20138932",100,100,0,0,55,154,2,301,6.35e-61,208,"TAC102","R1",55,154,301,2,100,300,300,TRUE
"TAC102","SRR7910035.19017844",100,100,0,0,55,154,2,301,6.35e-61,208,"TAC102","R1",55,154,301,2,100,300,300,TRUE
"TAC102","SRR7910035.13469211",100,100,0,0,56,155,1,300,6.35e-61,208,"TAC102","R1",56,155,300,1,100,300,300,TRUE
"TAC102","SRR7910035.26304157",99,100,1,0,258,357,1,300,6.41e-61,208,"TAC102","R1",258,357,1,300,100,300,300,TRUE
"TAC102","SRR7910035.26348064",98,100,2,0,264,363,1,300,6.67e-61,208,"TAC102","R1",264,363,1,300,100,300,300,TRUE
"TAC102","SRR7910035.25995347",99,100,1,0,254,353,1,300,7.16e-61,208,"TAC102","R1",254,353,300,1,100,300,300,TRUE
"TAC102","SRR7910035.9303760",99,100,1,0,260,359,2,301,7.16e-61,208,"TAC102","R1",260,359,2,301,100,300,300,TRUE
"TAC102","SRR7910035.25858400",100,100,0,0,401,500,1,300,7.53e-61,208,"TAC102","R1",401,500,1,300,100,300,300,TRUE
"TAC102","SRR7910035.774267",98.99,99,1,0,818,916,3,299,7.6e-61,208,"TAC102","R1",818,916,299,3,99,297,297,TRUE
"TAC102","SRR7910035.21817605",99,100,1,0,255,354,1,300,7.76e-61,208,"TAC102","R1",255,354,300,1,100,300,300,TRUE
"TAC102","SRR7910035.23557650",100,100,0,0,42,141,1,300,7.99e-61,208,"TAC102","R1",42,141,1,300,100,300,300,TRUE
"TAC102","SRR7910035.22520500",100,99,0,0,407,505,3,299,8.32e-61,208,"TAC102","R1",407,505,299,3,99,297,297,TRUE
"TAC102","SRR7910035.1279723",99,100,1,0,405,504,1,300,8.32e-61,208,"TAC102","R1",405,504,300,1,100,300,300,TRUE
"TAC102","SRR7910035.14833189",99,100,1,0,409,508,2,301,8.49e-61,207,"TAC102","R1",409,508,2,301,100,300,300,TRUE
"TAC102","SRR7910035.14199610",100,100,0,0,418,517,2,301,8.75e-61,207,"TAC102","R1",418,517,301,2,100,300,300,TRUE
"TAC102","SRR7910035.19971207",100,100,0,0,289,388,1,300,9.29e-61,207,"TAC102","R1",289,388,300,1,100,300,300,TRUE
"TAC102","SRR7910035.3991430",100,100,0,0,289,388,2,301,9.29e-61,207,"TAC102","R1",289,388,2,301,100,300,300,TRUE
"TAC102","SRR7910035.21118686",100,100,0,0,425,524,2,301,9.48e-61,207,"TAC102","R1",425,524,301,2,100,300,300,TRUE
"TAC102","SRR7910035.3352494",98.99,99,1,0,264,362,3,299,1.11e-60,207,"TAC102","R1",264,362,3,299,99,297,297,TRUE
"TAC102","SRR7910035.3194223",98.99,99,1,0,264,362,2,298,1.11e-60,207,"TAC102","R1",264,362,2,298,99,297,297,TRUE
"TAC102","SRR7910035.2543475",98.99,99,1,0,264,362,3,299,1.11e-60,207,"TAC102","R1",264,362,3,299,99,297,297,TRUE
"TAC102","SRR7910035.815757",98.99,99,1,0,264,362,2,298,1.11e-60,207,"TAC102","R1",264,362,2,298,99,297,297,TRUE
"TAC102","SRR7910035.19963960",99,100,1,0,240,339,2,301,1.19e-60,207,"TAC102","R1",240,339,301,2,100,300,300,TRUE
"TAC102","SRR7910035.12914175",99,100,1,0,240,339,1,300,1.19e-60,207,"TAC102","R1",240,339,300,1,100,300,300,TRUE
"TAC102","SRR7910035.9353801",99,100,1,0,240,339,1,300,1.19e-60,207,"TAC102","R1",240,339,1,300,100,300,300,TRUE
"TAC102","SRR7910035.14414725",99,100,1,0,241,340,2,301,1.22e-60,207,"TAC102","R1",241,340,2,301,100,300,300,TRUE
"TAC102","SRR7910035.369276",100,99,0,0,406,504,2,298,1.22e-60,207,"TAC102","R1",406,504,298,2,99,297,297,TRUE
"TAC102","SRR7910035.23018446",99,100,1,0,266,365,1,300,1.23e-60,207,"TAC102","R1",266,365,1,300,100,300,300,TRUE
"TAC102","SRR7910035.21847931",100,100,0,0,38,137,1,300,1.23e-60,207,"TAC102","R1",38,137,1,300,100,300,300,TRUE
"TAC102","SRR7910035.8345661",99,100,1,0,266,365,1,300,1.23e-60,207,"TAC102","R1",266,365,1,300,100,300,300,TRUE
"TAC102","SRR7910035.16827767",100,99,0,0,808,906,3,299,1.28e-60,207,"TAC102","R1",808,906,3,299,99,297,297,TRUE
"TAC102","SRR7910035.5730537",98,100,2,0,251,350,1,300,1.28e-60,207,"TAC102","R1",251,350,300,1,100,300,300,TRUE
"TAC102","SRR7910035.9966351",100,100,0,0,41,140,2,301,1.29e-60,207,"TAC102","R1",41,140,2,301,100,300,300,TRUE
"TAC102","SRR7910035.23133019",99,100,1,0,238,337,2,301,1.35e-60,207,"TAC102","R1",238,337,301,2,100,300,300,TRUE
"TAC102","SRR7910035.27807171",100,100,0,0,290,389,1,300,1.47e-60,207,"TAC102","R1",290,389,1,300,100,300,300,TRUE
"TAC102","SRR7910035.27483087",100,100,0,0,37,136,2,301,1.47e-60,207,"TAC102","R1",37,136,2,301,100,300,300,TRUE
"TAC102","SRR7910035.11717975",100,100,0,0,290,389,1,300,1.47e-60,207,"TAC102","R1",290,389,1,300,100,300,300,TRUE
"TAC102","SRR7910035.5031558",100,100,0,0,290,389,2,301,1.47e-60,207,"TAC102","R1",290,389,301,2,100,300,300,TRUE
"TAC102","SRR7910035.22125446",99,100,1,0,249,348,1,300,1.49e-60,207,"TAC102","R1",249,348,300,1,100,300,300,TRUE
"TAC102","SRR7910035.21869708",99,100,1,0,234,333,2,301,1.49e-60,207,"TAC102","R1",234,333,2,301,100,300,300,TRUE
"TAC102","SRR7910035.17051633",99,100,1,0,249,348,1,300,1.49e-60,207,"TAC102","R1",249,348,300,1,100,300,300,TRUE
"TAC102","SRR7910035.4936648",99,100,1,0,239,338,1,300,1.5e-60,207,"TAC102","R1",239,338,1,300,100,300,300,TRUE
"TAC102","SRR7910035.21878169",100,100,0,0,398,497,1,300,1.53e-60,207,"TAC102","R1",398,497,1,300,100,300,300,TRUE
"TAC102","SRR7910035.7170035",99,100,1,0,421,520,1,300,1.6e-60,207,"TAC102","R1",421,520,1,300,100,300,300,TRUE
"TAC102","SRR7910035.27568063",99,100,1,0,54,153,2,301,1.61e-60,207,"TAC102","R1",54,153,301,2,100,300,300,TRUE
"TAC102","SRR7910035.28165309",100,99,0,0,415,513,3,299,1.63e-60,207,"TAC102","R1",415,513,299,3,99,297,297,TRUE
"TAC102","SRR7910035.1902792",99,100,1,0,230,329,2,301,1.64e-60,207,"TAC102","R1",230,329,301,2,100,300,300,TRUE
"TAC102","SRR7910035.6552870",100,99,0,0,808,906,2,298,1.69e-60,207,"TAC102","R1",808,906,298,2,99,297,297,TRUE
"TAC102","SRR7910035.23926764",99,100,1,0,411,510,1,300,1.71e-60,207,"TAC102","R1",411,510,1,300,100,300,300,TRUE
"TAC102","SRR7910035.27461394",99,100,1,0,247,346,2,301,1.8e-60,207,"TAC102","R1",247,346,301,2,100,300,300,TRUE
"TAC102","SRR7910035.24890179",100,100,0,0,426,525,1,300,1.84e-60,207,"TAC102","R1",426,525,300,1,100,300,300,TRUE
"TAC102","SRR7910035.22893951",100,100,0,0,426,525,2,301,1.84e-60,207,"TAC102","R1",426,525,301,2,100,300,300,TRUE
"TAC102","SRR7910035.14193615",100,100,0,0,426,525,1,300,1.84e-60,207,"TAC102","R1",426,525,300,1,100,300,300,TRUE
"TAC102","SRR7910035.3898625",100,99,0,0,405,503,2,298,1.87e-60,207,"TAC102","R1",405,503,298,2,99,297,297,TRUE
"TAC102","SRR7910035.26303207",98.99,99,1,0,259,357,3,299,1.95e-60,207,"TAC102","R1",259,357,3,299,99,297,297,TRUE
"TAC102","SRR7910035.12929338",99,100,1,0,228,327,1,300,1.95e-60,207,"TAC102","R1",228,327,300,1,100,300,300,TRUE
"TAC102","SRR7910035.6629153",99,100,1,0,228,327,1,300,1.95e-60,207,"TAC102","R1",228,327,1,300,100,300,300,TRUE
"TAC102","SRR7910035.2204621",98.99,99,1,0,252,350,3,299,1.95e-60,207,"TAC102","R1",252,350,299,3,99,297,297,TRUE
"TAC102","SRR7910035.4270633",96.97,99,3,0,827,925,2,298,1.97e-60,207,"TAC102","R1",827,925,298,2,99,297,297,TRUE
"TAC102","SRR7910035.26625331",100,100,0,0,397,496,2,301,2.01e-60,207,"TAC102","R1",397,496,301,2,100,300,300,TRUE
"TAC102","SRR7910035.16453160",99,100,1,0,208,307,1,300,2.05e-60,207,"TAC102","R1",208,307,1,300,100,300,300,TRUE
"TAC102","SRR7910035.6282374",99,100,1,0,209,308,2,301,2.05e-60,207,"TAC102","R1",209,308,301,2,100,300,300,TRUE
"TAC102","SRR7910035.382436",99,100,1,0,208,307,1,300,2.05e-60,207,"TAC102","R1",208,307,1,300,100,300,300,TRUE
"TAC102","SRR7910035.23104628",99,100,1,0,205,304,1,300,2.09e-60,207,"TAC102","R1",205,304,300,1,100,300,300,TRUE
"TAC102","SRR7910035.5008948",100,100,0,0,291,390,2,301,2.11e-60,207,"TAC102","R1",291,390,301,2,100,300,300,TRUE
"TAC102","SRR7910035.2122579",100,100,0,0,291,390,2,301,2.11e-60,207,"TAC102","R1",291,390,301,2,100,300,300,TRUE
"TAC102","SRR7910035.901617",100,99,0,0,50,148,1,297,2.13e-60,207,"TAC102","R1",50,148,297,1,99,297,297,TRUE
"TAC102","SRR7910035.17236270",99,100,1,0,210,309,1,300,2.2e-60,207,"TAC102","R1",210,309,300,1,100,300,300,TRUE
"TAC102","SRR7910035.16555254",99,100,1,0,267,366,1,300,2.2e-60,207,"TAC102","R1",267,366,1,300,100,300,300,TRUE
"TAC102","SRR7910035.3864017",100,99,0,0,50,148,3,299,2.2e-60,207,"TAC102","R1",50,148,3,299,99,297,297,TRUE
"TAC102","SRR7910035.17245608",99,100,1,0,246,345,2,301,2.24e-60,206,"TAC102","R1",246,345,2,301,100,300,300,TRUE
"TAC102","SRR7910035.1576866",98.99,99,1,0,263,361,1,297,2.28e-60,206,"TAC102","R1",263,361,297,1,99,297,297,TRUE
"TAC102","SRR7910035.16821492",99,100,1,0,206,305,1,300,2.29e-60,206,"TAC102","R1",206,305,300,1,100,300,300,TRUE
"TAC102","SRR7910035.14067819",99,100,1,0,261,360,1,300,2.29e-60,206,"TAC102","R1",261,360,1,300,100,300,300,TRUE
"TAC102","SRR7910035.11816853",99,100,1,0,45,144,1,300,2.29e-60,206,"TAC102","R1",45,144,1,300,100,300,300,TRUE
"TAC102","SRR7910035.4834639",100,99,0,0,52,150,3,299,2.31e-60,206,"TAC102","R1",52,150,299,3,99,297,297,TRUE
"TAC102","SRR7910035.28273357",99,100,1,0,223,322,2,301,2.33e-60,206,"TAC102","R1",223,322,301,2,100,300,300,TRUE
"TAC102","SRR7910035.8658414",99,100,1,0,279,378,1,300,2.33e-60,206,"TAC102","R1",279,378,1,300,100,300,300,TRUE
"TAC102","SRR7910035.26546324",98.99,99,1,0,263,361,2,298,2.36e-60,206,"TAC102","R1",263,361,2,298,99,297,297,TRUE
"TAC102","SRR7910035.25216228",99,100,1,0,227,326,1,300,2.36e-60,206,"TAC102","R1",227,326,300,1,100,300,300,TRUE
"TAC102","SRR7910035.28039634",99,100,1,0,229,328,1,300,2.43e-60,206,"TAC102","R1",229,328,300,1,100,300,300,TRUE
"TAC102","SRR7910035.22724271",99,100,1,0,229,328,1,300,2.43e-60,206,"TAC102","R1",229,328,1,300,100,300,300,TRUE
"TAC102","SRR7910035.20014949",100,100,0,0,296,395,1,300,2.45e-60,206,"TAC102","R1",296,395,1,300,100,300,300,TRUE
"TAC102","SRR7910035.25601680",99,100,1,0,222,321,2,301,2.5e-60,206,"TAC102","R1",222,321,301,2,100,300,300,TRUE
"TAC102","SRR7910035.4528116",99,100,1,0,281,380,1,300,2.55e-60,206,"TAC102","R1",281,380,300,1,100,300,300,TRUE
"TAC102","SRR7910035.3393384",100,99,0,0,421,519,3,299,2.55e-60,206,"TAC102","R1",421,519,3,299,99,297,297,TRUE
"TAC102","SRR7910035.19820945",99,100,1,0,283,382,2,301,2.58e-60,206,"TAC102","R1",283,382,301,2,100,300,300,TRUE
"TAC102","SRR7910035.24327317",99,100,1,0,232,331,1,300,2.66e-60,206,"TAC102","R1",232,331,300,1,100,300,300,TRUE
"TAC102","SRR7910035.14266141",99,100,1,0,232,331,1,300,2.66e-60,206,"TAC102","R1",232,331,300,1,100,300,300,TRUE
"TAC102","SRR7910035.1982304",100,99,0,0,49,147,3,299,2.66e-60,206,"TAC102","R1",49,147,299,3,99,297,297,TRUE
"TAC102","SRR7910035.8168521",99,100,1,0,207,306,1,300,2.68e-60,206,"TAC102","R1",207,306,300,1,100,300,300,TRUE
"TAC102","SRR7910035.4938754",99,100,1,0,207,306,2,301,2.68e-60,206,"TAC102","R1",207,306,2,301,100,300,300,TRUE
"TAC102","SRR7910035.2486340",99,100,1,0,207,306,2,301,2.68e-60,206,"TAC102","R1",207,306,2,301,100,300,300,TRUE
"TAC102","SRR7910035.2589252",99,100,1,0,50,149,1,300,2.71e-60,206,"TAC102","R1",50,149,300,1,100,300,300,TRUE
"TAC102","SRR7910035.7997241",100,99,0,0,44,142,2,298,2.77e-60,206,"TAC102","R1",44,142,2,298,99,297,297,TRUE
"TAC102","SRR7910035.12891740",100,99,0,0,46,144,1,297,2.79e-60,206,"TAC102","R1",46,144,297,1,99,297,297,TRUE
"TAC102","SRR7910035.21079869",99,100,1,0,282,381,1,300,2.85e-60,206,"TAC102","R1",282,381,1,300,100,300,300,TRUE
"TAC102","SRR7910035.4272107",99,100,1,0,282,381,2,301,2.85e-60,206,"TAC102","R1",282,381,2,301,100,300,300,TRUE
"TAC102","SRR7910035.28264650",100,100,0,0,396,495,1,300,2.97e-60,206,"TAC102","R1",396,495,300,1,100,300,300,TRUE
"TAC102","SRR7910035.16383947",100,100,0,0,396,495,1,300,2.97e-60,206,"TAC102","R1",396,495,300,1,100,300,300,TRUE
"TAC102","SRR7910035.13835571",99,100,1,0,424,523,2,301,2.97e-60,206,"TAC102","R1",424,523,301,2,100,300,300,TRUE
"TAC102","SRR7910035.21213448",99,100,1,0,221,320,1,300,3.06e-60,206,"TAC102","R1",221,320,1,300,100,300,300,TRUE
"TAC102","SRR7910035.6227358",99,100,1,0,221,320,1,300,3.06e-60,206,"TAC102","R1",221,320,300,1,100,300,300,TRUE
"TAC102","SRR7910035.13954950",100,99,0,0,56,154,3,299,3.09e-60,206,"TAC102","R1",56,154,299,3,99,297,297,TRUE
"TAC102","SRR7910035.19676510",99,100,1,0,272,371,2,301,3.15e-60,206,"TAC102","R1",272,371,301,2,100,300,300,TRUE
"TAC102","SRR7910035.7784867",99,100,1,0,271,370,2,301,3.15e-60,206,"TAC102","R1",271,370,301,2,100,300,300,TRUE
"TAC102","SRR7910035.3969610",99,100,1,0,272,371,1,300,3.15e-60,206,"TAC102","R1",272,371,1,300,100,300,300,TRUE
"TAC102","SRR7910035.16095965",99,100,1,0,212,311,2,301,3.18e-60,206,"TAC102","R1",212,311,301,2,100,300,300,TRUE
"TAC102","SRR7910035.2395753",99,100,1,0,226,325,2,301,3.18e-60,206,"TAC102","R1",226,325,2,301,100,300,300,TRUE
"TAC102","SRR7910035.1023244",100,100,0,0,430,529,1,300,3.18e-60,206,"TAC102","R1",430,529,300,1,100,300,300,TRUE
"TAC102","SRR7910035.20850791",99,100,1,0,243,342,2,301,3.25e-60,206,"TAC102","R1",243,342,301,2,100,300,300,TRUE
"TAC102","SRR7910035.20753294",98.99,99,1,0,255,353,2,298,3.25e-60,206,"TAC102","R1",255,353,298,2,99,297,297,TRUE
"TAC102","SRR7910035.13873425",99,100,1,0,204,303,2,301,3.25e-60,206,"TAC102","R1",204,303,2,301,100,300,300,TRUE
"TAC102","SRR7910035.3637532",98.99,99,1,0,256,354,3,299,3.31e-60,206,"TAC102","R1",256,354,3,299,99,297,297,TRUE
"TAC102","SRR7910035.26433500",99,100,1,0,285,384,2,301,3.35e-60,206,"TAC102","R1",285,384,2,301,100,300,300,TRUE
"TAC102","SRR7910035.23529258",98.99,99,1,0,258,356,3,299,3.59e-60,206,"TAC102","R1",258,356,3,299,99,297,297,TRUE
"TAC102","SRR7910035.27932584",99,100,1,0,213,312,1,300,3.66e-60,206,"TAC102","R1",213,312,300,1,100,300,300,TRUE
"TAC102","SRR7910035.14492032",99,100,1,0,213,312,2,301,3.66e-60,206,"TAC102","R1",213,312,301,2,100,300,300,TRUE
"TAC102","SRR7910035.13240742",99,100,1,0,213,312,1,300,3.66e-60,206,"TAC102","R1",213,312,300,1,100,300,300,TRUE
"TAC102","SRR7910035.19145944",100,100,0,0,39,138,1,300,3.7e-60,206,"TAC102","R1",39,138,1,300,100,300,300,TRUE
"TAC102","SRR7910035.5876596",99,100,1,0,211,310,1,300,4.01e-60,206,"TAC102","R1",211,310,300,1,100,300,300,TRUE
